"ID","title","location","lat","long","days","captures","richness","animal.name","scientific.name","year","n_cams","bait","month.of.study","temperature","notes","mean.temp.sampling.period","max.temp.sampling.period","mean.annual.temp","n_sites","sample.design","X22","system","ecosystem","capture_rate","var_caprate","richness_rate","var_richnessrate"
1.1,"An evaluation of camera traps for inventorying large- and medium-sized terrestrial rainforest mammals","Los Amigos Conservation Concession, Peru",-12.55,-70.1,1440,508,21,NA,"Didelphis marsupialis, Myrmecophaga tridactyla, Tamandua tetradactyla, Cabassous unicinctus, Dasypus kappleri, Dasypus novemcinctus, Dasypus spp., Priodontes maximus, Saimiri boliviensis, Atelocynus microtis, Speothos venaticus, Procyon cancrivorus, Nasua nasua, Eira barbara, Galictis vittata, Lontra longicaudis, Mustela african, Pteronura brasiliensis, Puma yagouarundi, Leopardus pardalis, Leopardus wiedii, Panthera onca, Puma concolor, Tapirus terrestris, Mazama americana, Mazama gouazoubira, Tayassu pecari, Pecari tajacu, Dasyprocta punctata, Myoprocta acouchy, Sciurus spadiceus, Hydrochoerus hydrochaeris, Dinomys branickii, Cuniculus paca, Proechimys sp., Sylvilagus brasiliensis, Crypturellus undulaus yapura, Mitu tuberosa, Penelope jacquacu, Psophia leucoptera","2005",26,"no","September-November",NA,NA,NA,NA,24,3,"grid",NA,"tropical forest","tropical",0.352777777777778,0.000244984567901235,0.0145833333333333,1.01273148148148e-05
1.2,"An evaluation of camera traps for inventorying large- and medium-sized terrestrial rainforest mammals",NA,-12.55,-70.1,2340,814,27,NA,NA,"2006",40,"no","August-October",NA,NA,NA,NA,24,3,"grid",NA,"tropical forest","tropical",0.347863247863248,0.000148659507633867,0.0115384615384615,4.93096646942801e-06
5.1,"Monitoring the Status and Trends of Tropical Forest Terrestrial Vertebrate Communities from Camera Trap Data: A Tool for Conservation","Volcan Barva TEAM site, Costa Rica",10.13,-84.1,825,22437,26,NA,"some: Cuniculus paca, Dasyprocta punctata, Dasypus novemcinctus, Eira barbara, Leopardus pardalis, Leopardus wiedii, Mazama temama, Nasua Narica, Panthera Onca, Pecari tajacu, Puma concolor, Puma yaguaroundi, Tapirus bardii","2008-2012",60,"no","January-May",NA,NA,NA,NA,NA,1,"denity along altitudinal gradient",NA,"tropical forest","tropical",27.1963636363636,0.0329652892561983,0.0315151515151515,3.82001836547291e-05
7.1,"Estimating Species Richness and Modelling Habitat Preferences of Tropical Forest Mammals from Camera Trap Data","Udzungwa Mountains of south-central Tanzania",-7.7,8.7,1818,10647,26,NA,"Dendrohyrax arboreus, Loxodonta Africana,  Petrodromus tetradactylus, Rhynchocyon cirnei, Rhynchocyon udzungwensis, Atilax paludinosus, Bdeogale crassicauda, Civettictis civetta, Genetta servalina, Mellivora capensis, Mungos mungo, Nandinia binotata, Panthera pardus, Sanje mangabey Cercocebus sanjei, Cercopithecus, Papio cynocephalus, Procolobus gordonorum, Colobus angolensis Cricetomys gambianus, Hystrix africaeaustralis, Paraxerus vexillarius, Cephalophus harveyi, Cephalophus spadix, Suni Neotragus, Potamochoerus larvatus, Syncerus caffer","2009",60,"no","July-November",NA,NA,NA,NA,23.5,60,"grid",NA,"semi-decidous forest","deciduous",5.85643564356436,0.00322136174013441,0.0143014301430143,7.86657323598146e-06
8.1,"Random versus Game Trail-Based Camera Trap Placement Strategy for Monitoring Terrestrial Mammal Communities","Ruaha National Park (RNP), Tanzania",-7.65,34.91,10567,5167,41,NA,"Cercopithecus pygerythrus, Papio cynocephalus , Canis mesomelas, Octocyon megalotis, Lycaon pictus, Mellivora capensis, Mungos mungo, Bdeogale
crassicauda, Herpestes sanguinea , Ichneumia albicauda, Crocuta crocuta, Proteles cristata, Genetta genetta, Genetta tigrina, Civettictis civetta, Felis sylvestris, Felis serval, Felis caracal, Acinonyx jubatus, Panthera pardus, Panthera leo, Smutsia temminckii, Hystrix cristata, Orycteropus afer, Loxodonta africana, Equus quagga, Hippopotamus
amphibious, Potamochoerus larvatus, Phacochoerus africanus, Giraffa camelopardalis, Syncerus caffer, Tragelaphus scriptus, Tragelaphus
imberbis, Tragelaphus
strepsiceros","2013-2014",54,"no","Septmeber-November, December-February",NA,NA,NA,NA,20.5,1,"grid",NA,"African savanna","grassland",0.48897511119523,4.62737873753412e-05,0.00388000378536955,3.67181204255659e-07
9.1,"Oil palm plantations fail to support mammal diversity","Danum Valley Conservation Area (DVCA) Sabah, Malaysian Borneo",4.96,117.69,1574,688,19,NA,NA,"2013",53,"no","January-April",NA,NA,NA,NA,26.9,1,"transect",NA,"tropical forest","tropical",0.43710292249047,0.000277701983793183,0.0120711562897078,7.66909548266058e-06
9.2,"Oil palm plantations fail to support mammal diversity",NA,4.96,117.69,1191,889,17,NA,NA,"2013",38,"no","January-April",NA,NA,NA,NA,26.9,1,"transect",NA,"plantation","tropical",0.746431570109152,0.000626726759117676,0.0142737195633921,1.19846511867272e-05
11.1,"Domestic dogs in Atlantic forest preserves of south-eastern Brazil: a camera-trapping study on patterns of entrance and site occupancy rates","Santa Lucia Biological Station, Brazil",-19.96,-40.51,2142,292,21,NA,"Dasyprocta leporrina, Didelphis aurita, Cuniculus paca, Canis lupus, Metachirus nudicaudatus, Procyon cancrivorus, Dasypus novecinctus, Puma conclor, Pecari tajacu, Nasua nasua, Rodentia sp., Cabassous sp., Cerdocyon sous, Sylvilagus brasiliensis, Sciurus aestuans, Eira barbara, Leopardus tigris, Puma yagouaroundi, Didelphimorphia sp., Euphractus sexcinctus, Hydrochoerus hydrochaeris, Philander frenatus.","2002-2004",28,"no","February-February",NA,NA,NA,NA,19.9,12,"distance",NA,"tropical forest, plantation","tropical",0.136321195144725,6.36420145400208e-05,0.00980392156862745,4.57699419637136e-06
13.1,"CAMERA-TRAPPING SURVEY OF MAMMALS IN AND AROUND IMBAK CANYON CONSERVATION AREA IN SABAH, MALAYSIAN BORNEO","Imbak Canyon Conservation Area, Sabah, Malaysia",5.59,11.69,1436,1641,27,NA,"Neofelis diardi, Pardofelis marmorata, Prionailurus bengalensis , Viverra tangalunga, Hemigalus derbyanus , Paguma larvata, Arctictis binturong, Prionodon linsang , Martes fl avigula , Lutrogale perspicillata , Herpestes semitorquatus, H. brachyurus, Helarctos malayanus, Muntiacus spp. , Rusa unicolor , Tragulus spp. , Sus barbatus , Manis javanica , Hystrix brachyura , Trichys fasciculata , Hystrix crassispinis, Rheithrosciurus macrotis , Macaca fascicularis , M. nemestrina , Presbytis rubicunda, P. hosei , Pongo pygmaeus","2012",80,"no","July-Septmeber",NA,NA,NA,NA,NA,60,"animal frequency, distance",NA,"tropical forest","tropical",1.14275766016713,0.000795792242456219,0.0188022284122563,1.3093473824691e-05
14.1,"Using camera trapping and hierarchical occupancy modelling to evaluate the spatial ecology of an African mammal community","Ngamiland District of northern Botswana",-19.51,23.61,6607,8668,44,NA,NA,"2015",88,"no","February-July",NA,NA,NA,NA,NA,44,"grid",NA,"dryland","desert",1.31194187982443,0.000198568469778179,0.00665960345088542,1.00796177552375e-06
