ID,title,location,lat,long,days,captures,richness,animal name,scientific name,year,number cams,bait ,month of study,temperature ,notes,mean temp sampling period,max temp sampling period,mean annual temp,n_sites,sample design,,system,ecosystem
1.1,An evaluation of camera traps for inventorying large- and medium-sized terrestrial rainforest mammals,"Los Amigos Conservation Concession, Peru",-12.55,-70.1,1440,508,21,,"Didelphis marsupialis, Myrmecophaga tridactyla, Tamandua tetradactyla, Cabassous unicinctus, Dasypus kappleri, Dasypus novemcinctus, Dasypus spp., Priodontes maximus, Saimiri boliviensis, Atelocynus microtis, Speothos venaticus, Procyon cancrivorus, Nasua nasua, Eira barbara, Galictis vittata, Lontra longicaudis, Mustela african, Pteronura brasiliensis, Puma yagouarundi, Leopardus pardalis, Leopardus wiedii, Panthera onca, Puma concolor, Tapirus terrestris, Mazama americana, Mazama gouazoubira, Tayassu pecari, Pecari tajacu, Dasyprocta punctata, Myoprocta acouchy, Sciurus spadiceus, Hydrochoerus hydrochaeris, Dinomys branickii, Cuniculus paca, Proechimys sp., Sylvilagus brasiliensis, Crypturellus undulaus yapura, Mitu tuberosa, Penelope jacquacu, Psophia leucoptera",2005,26,no,September-November,,,,,24,3,grid,,tropical forest,tropical
1.2,An evaluation of camera traps for inventorying large- and medium-sized terrestrial rainforest mammals,,-12.55,-70.1,2340,814,27,,,2006,40,no,August-October,,,,,24,3,grid ,,tropical forest,tropical
2.1,Disturbance-mediated mammal persistence and abundance-area relationships in Amazonian forest fragments,"Alta Floresta, Mato Grosso, Brazil",-9.88,-56.47,3086,1167,6,,"Myrmecophaga tridactyla, Tamandua tetradactyla, Didelphis marsupialis, Agouti paca, Leopardus pardalis, Tapirus terrestris",2003,,yes ,June-December,,,,,23.26,21,grid,,tropical forest,tropical
3.1,Comparison of the relative efficiencies of stereo-BRUVs and traps for sampling tropical continental shelf demersal fishes,"Kimberley Coast, Western Australia",-17.35,125.92,,2522,91,,"most ubiquitous: Scomberomorus spp., Pentapodus nagasakiensis, Pentapodus paradiseus, Lethrinus olivaceous and Carangoides gymnostethus",2006,6,yes ,June-July,,,,,27,1,haphazard,,aquatic,aquatic
4.1,Comparing methods for sampling large- and medium-sized mammals: camera traps and track plots,"Jataí Ecological Station (EEJ), Brazil",-21.3,-47.6,,17,6,,"Conepatus semistriatus, Puma concolor, Chrysocyon brachyurus, Mazama sp., Dasypus sp., Sylvilagus brasiliensis ",2006,10,no,July,,,,,23.5,1,line,,tropical savanna,grassland
5.1,Monitoring the Status and Trends of Tropical Forest Terrestrial Vertebrate Communities from Camera Trap Data: A Tool for Conservation,"Volcan Barva TEAM site, Costa Rica",10.13,-84.1,825,22437,26,,"some: Cuniculus paca, Dasyprocta punctata, Dasypus novemcinctus, Eira barbara, Leopardus pardalis, Leopardus wiedii, Mazama temama, Nasua Narica, Panthera Onca, Pecari tajacu, Puma concolor, Puma yaguaroundi, Tapirus bardii",2008-2012,60,no,January-May,,,,,,1,denity along altitudinal gradient ,,tropical forest,tropical
6.1,"Effects of Private-Land Use, Livestock Management, and Human Tolerance on Diversity, Distribution, and Abundance of Large African Mammals","Laikipia County, Kenya",0.397,37.16,,"28,586",69,"f 50 mammal species, 14 bird species, 5 livestock species, domestic dogs, and humans.",,2008-210,522,no ,January-October,,,,,22,8,grid,,African savanna ,grassland
7.1,Estimating Species Richness and Modelling Habitat Preferences of Tropical Forest Mammals from Camera Trap Data,Udzungwa Mountains of south-central Tanzania,-7.7,8.7,"1,818",10647,26,,"Dendrohyrax arboreus, Loxodonta Africana,  Petrodromus tetradactylus, Rhynchocyon cirnei, Rhynchocyon udzungwensis, Atilax paludinosus, Bdeogale crassicauda, Civettictis civetta, Genetta servalina, Mellivora capensis, Mungos mungo, Nandinia binotata, Panthera pardus, Sanje mangabey Cercocebus sanjei, Cercopithecus, Papio cynocephalus, Procolobus gordonorum, Colobus angolensis Cricetomys gambianus, Hystrix africaeaustralis, Paraxerus vexillarius, Cephalophus harveyi, Cephalophus spadix, Suni Neotragus, Potamochoerus larvatus, Syncerus caffer",2009,60,no ,July-November,,,,,23.5,60,grid ,,semi-decidous forest,deciduous
8.1,Random versus Game Trail-Based Camera Trap Placement Strategy for Monitoring Terrestrial Mammal Communities,"Ruaha National Park (RNP), Tanzania",-7.65,34.91,10567,5167,41,,"Cercopithecus pygerythrus, Papio cynocephalus , Canis mesomelas, Octocyon megalotis, Lycaon pictus, Mellivora capensis, Mungos mungo, Bdeogale
crassicauda, Herpestes sanguinea , Ichneumia albicauda, Crocuta crocuta, Proteles cristata, Genetta genetta, Genetta tigrina, Civettictis civetta, Felis sylvestris, Felis serval, Felis caracal, Acinonyx jubatus, Panthera pardus, Panthera leo, Smutsia temminckii, Hystrix cristata, Orycteropus afer, Loxodonta africana, Equus quagga, Hippopotamus
amphibious, Potamochoerus larvatus, Phacochoerus africanus, Giraffa camelopardalis, Syncerus caffer, Tragelaphus scriptus, Tragelaphus
imberbis, Tragelaphus
strepsiceros",2013-2014,54,no,"Septmeber-November, December-February",,,,,20.5,1,grid ,,African savanna,grassland
9.1,Oil palm plantations fail to support mammal diversity,"Danum Valley Conservation Area (DVCA) Sabah, Malaysian Borneo",4.96,117.69,1574,688,19,,,2013,53,no,January-April,,,,,26.9,1,transect,,tropical forest,tropical
