"Plot Title: 20881753"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20881753, SEN S/N: 20881753)","Intensity, lum/ft² (LGR S/N: 20881753, SEN S/N: 20881753)","Coupler Detached (LGR S/N: 20881753)","Coupler Attached (LGR S/N: 20881753)","Host Connected (LGR S/N: 20881753)","Stopped (LGR S/N: 20881753)","End Of File (LGR S/N: 20881753)"
1,10/13/21 12:54:28  PM,22.908,0.0,,,,,
2,10/13/21 12:54:31  PM,,,Logged,,,,
3,10/13/21 01:54:28  PM,21.855,0.0,,,,,
4,10/13/21 02:54:28  PM,21.760,5.0,,,,,
5,10/13/21 03:54:28  PM,21.664,2.0,,,,,
6,10/13/21 04:54:28  PM,21.664,0.0,,,,,
7,10/13/21 05:54:28  PM,21.664,0.0,,,,,
8,10/13/21 06:54:28  PM,21.664,0.0,,,,,
9,10/13/21 07:54:28  PM,21.664,0.0,,,,,
10,10/13/21 08:54:28  PM,21.664,0.0,,,,,
11,10/13/21 09:54:28  PM,21.664,0.0,,,,,
12,10/13/21 10:54:28  PM,21.664,0.0,,,,,
13,10/13/21 11:54:28  PM,21.664,0.0,,,,,
14,10/14/21 12:54:28  AM,21.664,0.0,,,,,
15,10/14/21 01:54:28  AM,21.760,0.0,,,,,
16,10/14/21 02:54:28  AM,21.664,0.0,,,,,
17,10/14/21 03:54:28  AM,21.760,0.0,,,,,
18,10/14/21 04:54:28  AM,21.760,0.0,,,,,
19,10/14/21 05:54:28  AM,21.664,0.0,,,,,
20,10/14/21 06:54:28  AM,21.760,0.0,,,,,
21,10/14/21 07:54:28  AM,21.760,1.0,,,,,
22,10/14/21 08:54:28  AM,21.855,3.0,,,,,
23,10/14/21 09:54:28  AM,21.760,47.0,,,,,
24,10/14/21 10:54:28  AM,22.333,21.0,,,,,
25,10/14/21 11:54:28  AM,21.664,6.0,,,,,
26,10/14/21 12:54:28  PM,21.282,2.0,,,,,
27,10/14/21 01:54:28  PM,21.091,2.0,,,,,
28,10/14/21 02:54:28  PM,20.996,1.0,,,,,
29,10/14/21 03:54:28  PM,21.378,1.0,,,,,
30,10/14/21 04:54:28  PM,21.855,1.0,,,,,
31,10/14/21 05:54:28  PM,21.664,0.0,,,,,
32,10/14/21 06:54:28  PM,21.760,0.0,,,,,
33,10/14/21 07:54:28  PM,21.664,0.0,,,,,
34,10/14/21 08:54:28  PM,21.664,0.0,,,,,
35,10/14/21 09:54:28  PM,21.760,0.0,,,,,
36,10/14/21 10:54:28  PM,21.664,0.0,,,,,
37,10/14/21 11:54:28  PM,21.664,0.0,,,,,
38,10/15/21 12:54:28  AM,21.760,0.0,,,,,
39,10/15/21 01:54:28  AM,21.760,0.0,,,,,
40,10/15/21 02:54:28  AM,21.664,0.0,,,,,
41,10/15/21 03:54:28  AM,21.760,0.0,,,,,
42,10/15/21 04:54:28  AM,21.664,0.0,,,,,
43,10/15/21 05:54:28  AM,21.664,0.0,,,,,
44,10/15/21 06:54:28  AM,21.760,0.0,,,,,
45,10/15/21 07:54:28  AM,21.664,0.0,,,,,
46,10/15/21 08:54:28  AM,21.760,1.0,,,,,
47,10/15/21 09:54:28  AM,21.664,2.0,,,,,
48,10/15/21 10:54:28  AM,21.664,2.0,,,,,
49,10/15/21 11:54:28  AM,21.760,2.0,,,,,
50,10/15/21 12:54:28  PM,21.760,2.0,,,,,
51,10/15/21 01:54:28  PM,21.760,1.0,,,,,
52,10/15/21 02:54:28  PM,21.664,1.0,,,,,
53,10/15/21 03:54:28  PM,21.664,1.0,,,,,
54,10/15/21 04:54:28  PM,21.664,0.0,,,,,
55,10/15/21 05:54:28  PM,21.760,0.0,,,,,
56,10/15/21 06:54:28  PM,21.760,0.0,,,,,
57,10/15/21 07:54:28  PM,21.664,0.0,,,,,
58,10/15/21 08:54:28  PM,21.664,0.0,,,,,
59,10/15/21 09:54:28  PM,21.855,0.0,,,,,
60,10/15/21 10:54:28  PM,21.760,0.0,,,,,
61,10/15/21 11:54:28  PM,21.855,0.0,,,,,
62,10/16/21 12:54:28  AM,21.855,0.0,,,,,
63,10/16/21 01:54:28  AM,21.760,0.0,,,,,
64,10/16/21 02:54:28  AM,21.760,0.0,,,,,
65,10/16/21 03:54:28  AM,21.760,0.0,,,,,
66,10/16/21 04:54:28  AM,21.760,0.0,,,,,
67,10/16/21 05:54:28  AM,21.664,0.0,,,,,
68,10/16/21 06:54:28  AM,21.760,0.0,,,,,
69,10/16/21 07:54:28  AM,21.664,0.0,,,,,
70,10/16/21 08:54:28  AM,21.760,0.0,,,,,
71,10/16/21 09:54:28  AM,21.664,1.0,,,,,
72,10/16/21 10:54:28  AM,21.760,2.0,,,,,
73,10/16/21 11:54:28  AM,21.760,1.0,,,,,
74,10/16/21 12:54:28  PM,21.760,3.0,,,,,
75,10/16/21 01:54:28  PM,21.760,2.0,,,,,
76,10/16/21 02:54:28  PM,21.664,2.0,,,,,
77,10/16/21 03:54:28  PM,21.760,2.0,,,,,
78,10/16/21 04:54:28  PM,21.760,1.0,,,,,
79,10/16/21 05:54:28  PM,21.664,0.0,,,,,
80,10/16/21 06:54:28  PM,21.664,0.0,,,,,
81,10/16/21 07:54:28  PM,21.760,0.0,,,,,
82,10/16/21 08:54:28  PM,21.664,0.0,,,,,
83,10/16/21 09:54:28  PM,21.664,0.0,,,,,
84,10/16/21 10:54:28  PM,21.664,0.0,,,,,
85,10/16/21 11:54:28  PM,21.664,0.0,,,,,
86,10/17/21 12:54:28  AM,21.664,0.0,,,,,
87,10/17/21 01:54:28  AM,21.664,0.0,,,,,
88,10/17/21 02:54:28  AM,21.664,0.0,,,,,
89,10/17/21 03:54:28  AM,21.664,0.0,,,,,
90,10/17/21 04:54:28  AM,21.664,0.0,,,,,
91,10/17/21 05:54:28  AM,21.664,0.0,,,,,
92,10/17/21 06:54:28  AM,21.664,0.0,,,,,
93,10/17/21 07:54:28  AM,21.664,0.0,,,,,
94,10/17/21 08:54:28  AM,21.664,1.0,,,,,
95,10/17/21 09:54:28  AM,21.664,52.0,,,,,
96,10/17/21 10:54:28  AM,22.429,18.0,,,,,
97,10/17/21 11:54:28  AM,21.760,5.0,,,,,
98,10/17/21 12:54:28  PM,21.760,4.0,,,,,
99,10/17/21 01:54:28  PM,21.664,2.0,,,,,
100,10/17/21 02:54:28  PM,21.664,2.0,,,,,
101,10/17/21 03:54:28  PM,21.664,1.0,,,,,
102,10/17/21 04:54:28  PM,21.664,1.0,,,,,
103,10/17/21 05:54:28  PM,21.664,0.0,,,,,
104,10/17/21 06:54:28  PM,21.664,0.0,,,,,
105,10/17/21 07:54:28  PM,21.760,0.0,,,,,
