"Plot Title: 20881733"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20881733, SEN S/N: 20881733)","Intensity, lum/ft² (LGR S/N: 20881733, SEN S/N: 20881733)","Coupler Detached (LGR S/N: 20881733)","Coupler Attached (LGR S/N: 20881733)","Host Connected (LGR S/N: 20881733)","Stopped (LGR S/N: 20881733)","End Of File (LGR S/N: 20881733)"
1,03/01/21 03:44:04  PM,20.329,0.0,,,,,
2,03/01/21 03:44:08  PM,,,Logged,,,,
3,03/01/21 04:44:04  PM,21.569,21.0,,,,,
4,03/01/21 05:44:04  PM,21.569,27.0,,,,,
5,03/01/21 06:44:04  PM,21.664,12.0,,,,,
6,03/01/21 07:44:04  PM,21.473,0.0,,,,,
7,03/01/21 08:44:04  PM,21.473,0.0,,,,,
8,03/01/21 09:44:04  PM,21.378,0.0,,,,,
9,03/01/21 10:44:04  PM,21.378,0.0,,,,,
10,03/01/21 11:44:04  PM,21.378,0.0,,,,,
11,03/02/21 12:44:04  AM,21.378,0.0,,,,,
12,03/02/21 01:44:04  AM,21.378,0.0,,,,,
13,03/02/21 02:44:04  AM,21.378,0.0,,,,,
14,03/02/21 03:44:04  AM,21.282,0.0,,,,,
15,03/02/21 04:44:04  AM,21.282,0.0,,,,,
16,03/02/21 05:44:04  AM,21.187,0.0,,,,,
17,03/02/21 06:44:04  AM,21.569,13.0,,,,,
18,03/02/21 07:44:04  AM,21.569,20.0,,,,,
19,03/02/21 08:44:04  AM,21.569,15.0,,,,,
20,03/02/21 09:44:04  AM,21.569,15.0,,,,,
21,03/02/21 10:44:04  AM,21.569,20.0,,,,,
22,03/02/21 11:44:04  AM,21.664,21.0,,,,,
23,03/02/21 12:44:04  PM,21.569,19.0,,,,,
24,03/02/21 01:44:04  PM,21.569,17.0,,,,,
25,03/02/21 02:44:04  PM,21.664,16.0,,,,,
26,03/02/21 03:44:04  PM,21.760,16.0,,,,,
27,03/02/21 04:44:04  PM,21.664,15.0,,,,,
28,03/02/21 05:44:04  PM,21.664,14.0,,,,,
29,03/02/21 06:44:04  PM,21.664,14.0,,,,,
30,03/02/21 07:44:04  PM,21.664,13.0,,,,,
31,03/02/21 08:44:04  PM,21.664,13.0,,,,,
32,03/02/21 09:44:04  PM,21.664,13.0,,,,,
33,03/02/21 10:44:04  PM,21.664,13.0,,,,,
34,03/02/21 11:44:04  PM,21.473,0.0,,,,,
35,03/03/21 12:44:04  AM,21.473,0.0,,,,,
36,03/03/21 01:44:04  AM,21.473,0.0,,,,,
37,03/03/21 02:44:04  AM,21.473,0.0,,,,,
38,03/03/21 03:44:04  AM,21.473,0.0,,,,,
39,03/03/21 04:44:04  AM,21.378,0.0,,,,,
40,03/03/21 05:44:04  AM,21.378,0.0,,,,,
41,03/03/21 06:44:04  AM,21.664,12.0,,,,,
42,03/03/21 07:44:04  AM,21.664,18.0,,,,,
43,03/03/21 08:44:04  AM,21.760,59.0,,,,,
44,03/03/21 09:44:04  AM,21.569,29.0,,,,,
45,03/03/21 10:44:04  AM,21.569,26.0,,,,,
46,03/03/21 11:44:04  AM,21.760,28.0,,,,,
