"Plot Title: 20881725"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20881725, SEN S/N: 20881725)","Intensity, lum/ft² (LGR S/N: 20881725, SEN S/N: 20881725)","Coupler Detached (LGR S/N: 20881725)","Coupler Attached (LGR S/N: 20881725)","Host Connected (LGR S/N: 20881725)","End Of File (LGR S/N: 20881725)"
1,05/31/21 02:53:54  PM,19.377,0.0,,,,
2,05/31/21 02:54:01  PM,,,Logged,,,
3,05/31/21 03:53:54  PM,17.189,7.0,,,,
4,05/31/21 04:53:54  PM,17.094,6.0,,,,
5,05/31/21 05:53:54  PM,17.094,6.0,,,,
6,05/31/21 06:53:54  PM,17.094,6.0,,,,
7,05/31/21 07:53:54  PM,17.094,6.0,,,,
8,05/31/21 08:53:54  PM,16.903,5.0,,,,
9,05/31/21 09:53:54  PM,16.903,6.0,,,,
10,05/31/21 10:53:54  PM,16.808,6.0,,,,
11,05/31/21 11:53:54  PM,16.713,6.0,,,,
12,06/01/21 12:53:54  AM,16.713,6.0,,,,
13,06/01/21 01:53:54  AM,16.618,5.0,,,,
14,06/01/21 02:53:54  AM,16.618,5.0,,,,
15,06/01/21 03:53:54  AM,16.618,5.0,,,,
16,06/01/21 04:53:54  AM,16.618,5.0,,,,
17,06/01/21 05:53:54  AM,16.523,5.0,,,,
18,06/01/21 06:53:54  AM,16.523,6.0,,,,
19,06/01/21 07:53:54  AM,16.618,7.0,,,,
20,06/01/21 08:53:54  AM,16.903,7.0,,,,
21,06/01/21 09:53:54  AM,17.189,7.0,,,,
22,06/01/21 10:53:54  AM,17.379,8.0,,,,
23,06/01/21 11:53:54  AM,17.475,8.0,,,,
24,06/01/21 12:53:54  PM,17.379,5.0,,,,
25,06/01/21 01:53:54  PM,17.379,6.0,,,,
26,06/01/21 02:53:54  PM,17.379,7.0,,,,
27,06/01/21 03:53:54  PM,17.284,6.0,,,,
28,06/01/21 04:53:54  PM,17.284,6.0,,,,
29,06/01/21 05:53:54  PM,17.379,6.0,,,,
