"Plot Title: 20881753"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20881753, SEN S/N: 20881753)","Intensity, lum/ft² (LGR S/N: 20881753, SEN S/N: 20881753)","Coupler Detached (LGR S/N: 20881753)","Coupler Attached (LGR S/N: 20881753)","Host Connected (LGR S/N: 20881753)","Stopped (LGR S/N: 20881753)","End Of File (LGR S/N: 20881753)"
1,06/30/21 01:07:06  PM,22.525,29.0,,,,,
2,06/30/21 01:07:11  PM,,,Logged,,,,
3,06/30/21 02:07:06  PM,22.429,22.0,,,,,
4,06/30/21 03:07:06  PM,22.238,23.0,,,,,
5,06/30/21 04:07:06  PM,22.429,15.0,,,,,
6,06/30/21 05:07:06  PM,22.333,15.0,,,,,
7,06/30/21 06:07:06  PM,22.429,15.0,,,,,
8,06/30/21 07:07:06  PM,22.429,14.0,,,,,
9,06/30/21 08:07:06  PM,22.525,15.0,,,,,
10,06/30/21 09:07:06  PM,22.525,15.0,,,,,
11,06/30/21 10:07:06  PM,22.525,14.0,,,,,
12,06/30/21 11:07:06  PM,22.525,15.0,,,,,
13,07/01/21 12:07:06  AM,22.621,14.0,,,,,
14,07/01/21 01:07:06  AM,22.525,15.0,,,,,
15,07/01/21 02:07:06  AM,22.525,15.0,,,,,
16,07/01/21 03:07:06  AM,22.429,14.0,,,,,
17,07/01/21 04:07:06  AM,22.621,14.0,,,,,
18,07/01/21 05:07:06  AM,22.429,14.0,,,,,
19,07/01/21 06:07:06  AM,22.429,15.0,,,,,
20,07/01/21 07:07:06  AM,22.621,15.0,,,,,
21,07/01/21 08:07:06  AM,22.429,16.0,,,,,
22,07/01/21 09:07:06  AM,22.525,16.0,,,,,
23,07/01/21 10:07:06  AM,22.429,17.0,,,,,
24,07/01/21 11:07:06  AM,22.333,15.0,,,,,
25,07/01/21 12:07:06  PM,22.333,18.0,,,,,
26,07/01/21 01:07:06  PM,22.333,17.0,,,,,
27,07/01/21 02:07:06  PM,22.429,15.0,,,,,
28,07/01/21 03:07:06  PM,22.525,15.0,,,,,
29,07/01/21 04:07:06  PM,22.429,15.0,,,,,
30,07/01/21 05:07:06  PM,22.525,15.0,,,,,
31,07/01/21 06:07:06  PM,22.429,15.0,,,,,
32,07/01/21 07:07:06  PM,22.429,15.0,,,,,
33,07/01/21 08:07:06  PM,22.525,15.0,,,,,
34,07/01/21 09:07:06  PM,22.621,15.0,,,,,
35,07/01/21 10:07:06  PM,22.525,15.0,,,,,
36,07/01/21 11:07:06  PM,22.429,14.0,,,,,
37,07/02/21 12:07:06  AM,22.525,15.0,,,,,
38,07/02/21 01:07:06  AM,22.717,14.0,,,,,
39,07/02/21 02:07:06  AM,22.429,14.0,,,,,
40,07/02/21 03:07:06  AM,22.621,14.0,,,,,
41,07/02/21 04:07:06  AM,22.525,14.0,,,,,
42,07/02/21 05:07:06  AM,22.621,15.0,,,,,
43,07/02/21 06:07:06  AM,22.525,15.0,,,,,
44,07/02/21 07:07:06  AM,22.621,15.0,,,,,
45,07/02/21 08:07:06  AM,22.429,17.0,,,,,
46,07/02/21 09:07:06  AM,22.429,15.0,,,,,
47,07/02/21 10:07:06  AM,22.333,15.0,,,,,
48,07/02/21 11:07:06  AM,22.525,18.0,,,,,
49,07/02/21 12:07:06  PM,22.429,16.0,,,,,
50,07/02/21 01:07:06  PM,22.525,15.0,,,,,
51,07/02/21 02:07:06  PM,22.525,17.0,,,,,
52,07/02/21 03:07:06  PM,22.525,15.0,,,,,
53,07/02/21 04:07:06  PM,22.525,15.0,,,,,
54,07/02/21 05:07:06  PM,22.621,15.0,,,,,
55,07/02/21 06:07:06  PM,22.621,16.0,,,,,
56,07/02/21 07:07:06  PM,22.525,15.0,,,,,
