"Plot Title: 20881733"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20881733, SEN S/N: 20881733)","Intensity, lum/ft² (LGR S/N: 20881733, SEN S/N: 20881733)","Coupler Detached (LGR S/N: 20881733)","Coupler Attached (LGR S/N: 20881733)","Host Connected (LGR S/N: 20881733)","Stopped (LGR S/N: 20881733)","End Of File (LGR S/N: 20881733)"
1,07/15/21 01:09:24  PM,23.292,0.0,,,,,
2,07/15/21 01:09:27  PM,,,Logged,,,,
3,07/15/21 02:09:24  PM,22.142,2.0,,,,,
4,07/15/21 03:09:24  PM,22.046,1.0,,,,,
5,07/15/21 04:09:24  PM,21.760,1.0,,,,,
6,07/15/21 05:09:24  PM,22.046,1.0,,,,,
7,07/15/21 06:09:24  PM,22.142,1.0,,,,,
8,07/15/21 07:09:24  PM,22.046,0.0,,,,,
9,07/15/21 08:09:24  PM,22.046,0.0,,,,,
10,07/15/21 09:09:24  PM,22.046,0.0,,,,,
11,07/15/21 10:09:24  PM,22.046,0.0,,,,,
12,07/15/21 11:09:24  PM,22.046,0.0,,,,,
13,07/16/21 12:09:24  AM,22.046,0.0,,,,,
14,07/16/21 01:09:24  AM,22.046,0.0,,,,,
15,07/16/21 02:09:24  AM,22.046,0.0,,,,,
16,07/16/21 03:09:24  AM,22.046,0.0,,,,,
17,07/16/21 04:09:24  AM,22.046,0.0,,,,,
18,07/16/21 05:09:24  AM,22.046,0.0,,,,,
19,07/16/21 06:09:24  AM,22.046,0.0,,,,,
20,07/16/21 07:09:24  AM,22.046,1.0,,,,,
21,07/16/21 08:09:24  AM,22.046,1.0,,,,,
22,07/16/21 09:09:24  AM,22.046,1.0,,,,,
23,07/16/21 10:09:24  AM,22.046,2.0,,,,,
24,07/16/21 11:09:24  AM,22.046,2.0,,,,,
25,07/16/21 12:09:24  PM,22.046,2.0,,,,,
26,07/16/21 01:09:24  PM,22.046,2.0,,,,,
27,07/16/21 02:09:24  PM,22.046,2.0,,,,,
28,07/16/21 03:09:24  PM,22.142,2.0,,,,,
29,07/16/21 04:09:24  PM,22.046,2.0,,,,,
30,07/16/21 05:09:24  PM,22.046,1.0,,,,,
31,07/16/21 06:09:24  PM,22.046,1.0,,,,,
32,07/16/21 07:09:24  PM,22.046,1.0,,,,,
33,07/16/21 08:09:24  PM,22.046,0.0,,,,,
34,07/16/21 09:09:24  PM,22.046,0.0,,,,,
35,07/16/21 10:09:24  PM,22.046,0.0,,,,,
36,07/16/21 11:09:24  PM,22.046,0.0,,,,,
37,07/17/21 12:09:24  AM,22.046,0.0,,,,,
38,07/17/21 01:09:24  AM,22.046,0.0,,,,,
39,07/17/21 02:09:24  AM,22.046,0.0,,,,,
40,07/17/21 03:09:24  AM,22.046,0.0,,,,,
41,07/17/21 04:09:24  AM,22.046,0.0,,,,,
42,07/17/21 05:09:24  AM,22.046,0.0,,,,,
43,07/17/21 06:09:24  AM,22.046,0.0,,,,,
44,07/17/21 07:09:24  AM,22.046,0.0,,,,,
45,07/17/21 08:09:24  AM,22.046,0.0,,,,,
46,07/17/21 09:09:24  AM,22.046,0.0,,,,,
47,07/17/21 10:09:24  AM,22.142,1.0,,,,,
48,07/17/21 11:09:24  AM,22.046,1.0,,,,,
49,07/17/21 12:09:24  PM,22.142,1.0,,,,,
50,07/17/21 01:09:24  PM,22.046,1.0,,,,,
51,07/17/21 02:09:24  PM,22.046,1.0,,,,,
52,07/17/21 03:09:24  PM,22.046,1.0,,,,,
53,07/17/21 04:09:24  PM,22.046,1.0,,,,,
54,07/17/21 05:09:24  PM,22.046,1.0,,,,,
55,07/17/21 06:09:24  PM,22.046,1.0,,,,,
56,07/17/21 07:09:24  PM,22.046,1.0,,,,,
57,07/17/21 08:09:24  PM,22.046,0.0,,,,,
58,07/17/21 09:09:24  PM,22.046,0.0,,,,,
59,07/17/21 10:09:24  PM,22.046,0.0,,,,,
60,07/17/21 11:09:24  PM,22.046,0.0,,,,,
61,07/18/21 12:09:24  AM,22.046,0.0,,,,,
62,07/18/21 01:09:24  AM,22.046,0.0,,,,,
63,07/18/21 02:09:24  AM,22.046,0.0,,,,,
64,07/18/21 03:09:24  AM,22.046,0.0,,,,,
65,07/18/21 04:09:24  AM,22.046,0.0,,,,,
66,07/18/21 05:09:24  AM,22.046,0.0,,,,,
67,07/18/21 06:09:24  AM,22.046,0.0,,,,,
68,07/18/21 07:09:24  AM,22.046,0.0,,,,,
69,07/18/21 08:09:24  AM,22.046,0.0,,,,,
70,07/18/21 09:09:24  AM,22.046,1.0,,,,,
71,07/18/21 10:09:24  AM,22.046,1.0,,,,,
72,07/18/21 11:09:24  AM,22.046,2.0,,,,,
73,07/18/21 12:09:24  PM,22.046,2.0,,,,,
74,07/18/21 01:09:24  PM,22.046,2.0,,,,,
75,07/18/21 02:09:24  PM,22.046,2.0,,,,,
76,07/18/21 03:09:24  PM,21.664,2.0,,,,,
77,07/18/21 04:09:24  PM,21.473,1.0,,,,,
78,07/18/21 05:09:24  PM,21.378,1.0,,,,,
79,07/18/21 06:09:24  PM,21.282,1.0,,,,,
80,07/18/21 07:09:24  PM,21.473,1.0,,,,,
81,07/18/21 08:09:24  PM,22.142,0.0,,,,,
82,07/18/21 09:09:24  PM,22.046,0.0,,,,,
83,07/18/21 10:09:24  PM,22.046,0.0,,,,,
84,07/18/21 11:09:24  PM,22.046,0.0,,,,,
85,07/19/21 12:09:24  AM,22.046,0.0,,,,,
86,07/19/21 01:09:24  AM,22.046,0.0,,,,,
87,07/19/21 02:09:24  AM,22.046,0.0,,,,,
88,07/19/21 03:09:24  AM,22.046,0.0,,,,,
89,07/19/21 04:09:24  AM,22.046,0.0,,,,,
90,07/19/21 05:09:24  AM,22.046,0.0,,,,,
91,07/19/21 06:09:24  AM,22.046,0.0,,,,,
92,07/19/21 07:09:24  AM,22.046,1.0,,,,,
