"Plot Title: Larrea annual 1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10641606, SEN S/N: 10641606)","Intensity, lum/ft² (LGR S/N: 10641606, SEN S/N: 10641606)","Coupler Detached (LGR S/N: 10641606)","Coupler Attached (LGR S/N: 10641606)","Host Connected (LGR S/N: 10641606)","Stopped (LGR S/N: 10641606)","End Of File (LGR S/N: 10641606)"
1,07/15/21 01:05:00  PM,22.812,15.0,,,,,
2,07/15/21 01:05:03  PM,,,Logged,,,,
3,07/15/21 02:05:00  PM,22.333,3.0,,,,,
4,07/15/21 03:05:00  PM,21.760,3.0,,,,,
5,07/15/21 04:05:00  PM,21.569,3.0,,,,,
6,07/15/21 05:05:00  PM,21.760,3.0,,,,,
7,07/15/21 06:05:00  PM,21.951,2.0,,,,,
8,07/15/21 07:05:00  PM,21.855,2.0,,,,,
9,07/15/21 08:05:00  PM,21.855,2.0,,,,,
10,07/15/21 09:05:00  PM,21.855,2.0,,,,,
11,07/15/21 10:05:00  PM,21.855,2.0,,,,,
12,07/15/21 11:05:00  PM,21.855,2.0,,,,,
13,07/16/21 12:05:00  AM,21.855,2.0,,,,,
14,07/16/21 01:05:00  AM,21.855,2.0,,,,,
15,07/16/21 02:05:00  AM,21.855,2.0,,,,,
16,07/16/21 03:05:00  AM,21.951,2.0,,,,,
17,07/16/21 04:05:00  AM,21.855,2.0,,,,,
18,07/16/21 05:05:00  AM,21.855,2.0,,,,,
19,07/16/21 06:05:00  AM,21.855,2.0,,,,,
20,07/16/21 07:05:00  AM,21.855,2.0,,,,,
21,07/16/21 08:05:00  AM,21.855,3.0,,,,,
22,07/16/21 09:05:00  AM,21.855,3.0,,,,,
23,07/16/21 10:05:00  AM,21.855,3.0,,,,,
24,07/16/21 11:05:00  AM,21.855,3.0,,,,,
25,07/16/21 12:05:00  PM,21.855,3.0,,,,,
26,07/16/21 01:05:00  PM,21.855,3.0,,,,,
27,07/16/21 02:05:00  PM,21.855,3.0,,,,,
28,07/16/21 03:05:00  PM,21.855,3.0,,,,,
29,07/16/21 04:05:00  PM,21.855,3.0,,,,,
30,07/16/21 05:05:00  PM,21.951,3.0,,,,,
31,07/16/21 06:05:00  PM,21.951,2.0,,,,,
32,07/16/21 07:05:00  PM,21.855,2.0,,,,,
33,07/16/21 08:05:00  PM,21.951,2.0,,,,,
34,07/16/21 09:05:00  PM,21.855,2.0,,,,,
35,07/16/21 10:05:00  PM,21.855,2.0,,,,,
36,07/16/21 11:05:00  PM,21.855,2.0,,,,,
37,07/17/21 12:05:00  AM,21.855,2.0,,,,,
38,07/17/21 01:05:00  AM,21.855,2.0,,,,,
39,07/17/21 02:05:00  AM,21.855,2.0,,,,,
40,07/17/21 03:05:00  AM,21.951,2.0,,,,,
41,07/17/21 04:05:00  AM,21.951,2.0,,,,,
42,07/17/21 05:05:00  AM,21.855,2.0,,,,,
43,07/17/21 06:05:00  AM,21.855,2.0,,,,,
44,07/17/21 07:05:00  AM,21.855,2.0,,,,,
45,07/17/21 08:05:00  AM,21.855,2.0,,,,,
46,07/17/21 09:05:00  AM,21.855,2.0,,,,,
47,07/17/21 10:05:00  AM,21.855,2.0,,,,,
48,07/17/21 11:05:00  AM,21.855,2.0,,,,,
49,07/17/21 12:05:00  PM,21.855,2.0,,,,,
50,07/17/21 01:05:00  PM,21.951,3.0,,,,,
51,07/17/21 02:05:00  PM,21.951,3.0,,,,,
52,07/17/21 03:05:00  PM,21.951,3.0,,,,,
53,07/17/21 04:05:00  PM,21.855,3.0,,,,,
54,07/17/21 05:05:00  PM,21.855,3.0,,,,,
55,07/17/21 06:05:00  PM,21.855,2.0,,,,,
56,07/17/21 07:05:00  PM,21.855,2.0,,,,,
57,07/17/21 08:05:00  PM,21.951,2.0,,,,,
58,07/17/21 09:05:00  PM,21.951,2.0,,,,,
59,07/17/21 10:05:00  PM,21.855,2.0,,,,,
60,07/17/21 11:05:00  PM,21.855,2.0,,,,,
61,07/18/21 12:05:00  AM,21.855,2.0,,,,,
62,07/18/21 01:05:00  AM,21.855,2.0,,,,,
63,07/18/21 02:05:00  AM,21.855,2.0,,,,,
64,07/18/21 03:05:00  AM,21.951,2.0,,,,,
65,07/18/21 04:05:00  AM,21.951,2.0,,,,,
66,07/18/21 05:05:00  AM,21.951,2.0,,,,,
67,07/18/21 06:05:00  AM,21.951,2.0,,,,,
68,07/18/21 07:05:00  AM,21.951,2.0,,,,,
69,07/18/21 08:05:00  AM,21.951,2.0,,,,,
70,07/18/21 09:05:00  AM,21.855,2.0,,,,,
71,07/18/21 10:05:00  AM,21.855,3.0,,,,,
72,07/18/21 11:05:00  AM,21.951,3.0,,,,,
73,07/18/21 12:05:00  PM,21.855,4.0,,,,,
74,07/18/21 01:05:00  PM,21.855,3.0,,,,,
75,07/18/21 02:05:00  PM,21.855,3.0,,,,,
76,07/18/21 03:05:00  PM,21.664,3.0,,,,,
77,07/18/21 04:05:00  PM,21.378,3.0,,,,,
78,07/18/21 05:05:00  PM,21.282,3.0,,,,,
79,07/18/21 06:05:00  PM,21.187,2.0,,,,,
80,07/18/21 07:05:00  PM,21.282,2.0,,,,,
81,07/18/21 08:05:00  PM,22.046,2.0,,,,,
82,07/18/21 09:05:00  PM,21.951,2.0,,,,,
83,07/18/21 10:05:00  PM,21.855,2.0,,,,,
84,07/18/21 11:05:00  PM,21.855,2.0,,,,,
85,07/19/21 12:05:00  AM,21.951,2.0,,,,,
86,07/19/21 01:05:00  AM,21.951,2.0,,,,,
87,07/19/21 02:05:00  AM,21.951,2.0,,,,,
88,07/19/21 03:05:00  AM,21.855,2.0,,,,,
89,07/19/21 04:05:00  AM,21.855,2.0,,,,,
90,07/19/21 05:05:00  AM,21.855,2.0,,,,,
91,07/19/21 06:05:00  AM,21.951,2.0,,,,,
92,07/19/21 07:05:00  AM,21.951,2.0,,,,,
93,07/19/21 08:05:00  AM,22.046,3.0,,,,,
94,07/19/21 09:05:00  AM,22.717,3.0,,,,,
95,07/19/21 10:05:00  AM,23.292,3.0,,,,,
96,07/19/21 11:05:00  AM,23.869,3.0,,,,,
97,07/19/21 12:05:00  PM,24.351,4.0,,,,,
98,07/19/21 01:05:00  PM,23.677,3.0,,,,,
