# Omega OM-92b Logger 
Time Zone UTC + -4 hours

# Configuration :
DeviceID,15531
LoggingStart,Button Press
LoggingStartTime,04.06 12:50:00
LoggingInterval,1 hour
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,NA
TemperatureAlarmThresholdLow,NA
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,NA
HumidityAlarmThresholdLow,NA
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2021-03-01,17:00:00,,2021-03-01 17:00:00,21.4965,28.4092,2.42008
,,2,2021-03-01,18:00:00,,2021-03-01 18:00:00,21.4218,22.3667,-0.960753
,,3,2021-03-01,19:00:00,,2021-03-01 19:00:00,21.0319,22.7604,-1.04917
,,4,2021-03-01,20:00:00,,2021-03-01 20:00:00,20.6634,21.561,-2.09457
,,5,2021-03-01,21:00:00,,2021-03-01 21:00:00,20.6474,21.2863,-2.28156
,,6,2021-03-01,22:00:00,,2021-03-01 22:00:00,20.6207,20.1419,-3.04917
,,7,2021-03-01,23:00:00,,2021-03-01 23:00:00,20.6046,20.206,-3.01973
,,8,2021-03-02,00:00:00,,2021-03-02 00:00:00,20.5779,19.5712,-3.4703
,,9,2021-03-02,01:00:00,,2021-03-02 01:00:00,20.6046,20.5509,-2.79192
,,10,2021-03-02,02:00:00,,2021-03-02 02:00:00,20.5512,20.1358,-3.11077
,,11,2021-03-02,03:00:00,,2021-03-02 03:00:00,20.5352,19.7482,-3.38493
,,12,2021-03-02,04:00:00,,2021-03-02 04:00:00,20.5245,19.2264,-3.75228
,,13,2021-03-02,05:00:00,,2021-03-02 05:00:00,20.5085,19.3393,-3.68719
,,14,2021-03-02,06:00:00,,2021-03-02 06:00:00,20.4925,18.9792,-3.9515
,,15,2021-03-02,07:00:00,,2021-03-02 07:00:00,20.861,19.4125,-3.3458
,,16,2021-03-02,08:00:00,,2021-03-02 08:00:00,20.9464,19.144,-3.46212
,,17,2021-03-02,09:00:00,,2021-03-02 09:00:00,20.9998,18.6526,-3.76615
,,18,2021-03-02,10:00:00,,2021-03-02 10:00:00,21.0159,18.6557,-3.75081
,,19,2021-03-02,11:00:00,,2021-03-02 11:00:00,21.112,17.7859,-4.30879
,,20,2021-03-02,12:00:00,,2021-03-02 12:00:00,21.2829,18.5061,-3.63927
,,21,2021-03-02,13:00:00,,2021-03-02 13:00:00,21.2402,19.5651,-2.9277
,,22,2021-03-02,14:00:00,,2021-03-02 14:00:00,21.1387,20.7309,-2.23048
,,23,2021-03-02,15:00:00,,2021-03-02 15:00:00,21.2135,20.3616,-2.41155
,,24,2021-03-02,16:00:00,,2021-03-02 16:00:00,21.2402,20.621,-2.21813
,,25,2021-03-02,17:00:00,,2021-03-02 17:00:00,21.2402,20.737,-2.14218
,,26,2021-03-02,18:00:00,,2021-03-02 18:00:00,21.1814,20.798,-2.15119
,,27,2021-03-02,19:00:00,,2021-03-02 19:00:00,21.2135,21.3077,-1.79608
,,28,2021-03-02,20:00:00,,2021-03-02 20:00:00,21.1975,19.9039,-2.73177
,,29,2021-03-02,21:00:00,,2021-03-02 21:00:00,21.2135,20.2792,-2.46635
,,30,2021-03-02,22:00:00,,2021-03-02 22:00:00,21.1975,20.7675,-2.15776
,,31,2021-03-02,23:00:00,,2021-03-02 23:00:00,21.2242,22.1225,-1.27619
,,32,2021-03-03,00:00:00,,2021-03-03 00:00:00,20.8183,23.1693,-0.985245
,,33,2021-03-03,01:00:00,,2021-03-03 01:00:00,20.8183,22.858,-1.17012
,,34,2021-03-03,02:00:00,,2021-03-03 02:00:00,20.861,23.1388,-0.967322
,,35,2021-03-03,03:00:00,,2021-03-03 03:00:00,20.877,23.3036,-0.856706
,,36,2021-03-03,04:00:00,,2021-03-03 04:00:00,20.8343,23.5813,-0.730413
,,37,2021-03-03,05:00:00,,2021-03-03 05:00:00,20.877,24.0696,-0.413054
,,38,2021-03-03,06:00:00,,2021-03-03 06:00:00,20.877,23.9506,-0.481159
,,39,2021-03-03,07:00:00,,2021-03-03 07:00:00,21.2989,24.1886,0.0114926
,,40,2021-03-03,08:00:00,,2021-03-03 08:00:00,21.3844,25.5039,0.816607
,,41,2021-03-03,09:00:00,,2021-03-03 09:00:00,21.9184,27.6219,2.38743
,,42,2021-03-03,10:00:00,,2021-03-03 10:00:00,21.9718,28.7297,2.98766
,,43,2021-03-03,11:00:00,,2021-03-03 11:00:00,21.8597,28.0003,2.52844
,,44,2021-03-03,12:00:00,,2021-03-03 12:00:00,22.0039,32.221,4.64697
,,45,2021-03-03,13:00:00,,2021-03-03 13:00:00,21.817,28.5985,2.78956
,,46,2021-03-03,14:00:00,,2021-03-03 14:00:00,21.7742,30.6004,3.71075
