# Omega OM-92b Logger 
Time Zone UTC + -4 hours

# Configuration :
DeviceID,15531
LoggingStart,Button Press
LoggingStartTime,05.31 13:38:00
LoggingInterval,1 hour
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,NA
TemperatureAlarmThresholdLow,NA
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,NA
HumidityAlarmThresholdLow,NA
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2021-04-23,15:00:00,,2021-04-23 15:00:00,21.5232,25.7786,1.08364
,,2,2021-04-23,16:00:00,,2021-04-23 16:00:00,21.5499,25.5344,0.974028
,,3,2021-04-23,17:00:00,,2021-04-23 17:00:00,21.5499,24.3412,0.310593
,,4,2021-04-23,18:00:00,,2021-04-23 18:00:00,21.4538,24.5396,0.341458
,,5,2021-04-23,19:00:00,,2021-04-23 19:00:00,21.3256,24.2161,0.0497226
,,6,2021-04-23,20:00:00,,2021-04-23 20:00:00,21.3096,24.8692,0.403804
,,7,2021-04-23,21:00:00,,2021-04-23 21:00:00,21.3256,24.7623,0.357849
,,8,2021-04-23,22:00:00,,2021-04-23 22:00:00,21.3844,25.0492,0.567116
,,9,2021-04-23,23:00:00,,2021-04-23 23:00:00,21.3256,25.4643,0.745041
,,10,2021-04-24,00:00:00,,2021-04-24 00:00:00,21.4805,25.7267,1.01924
,,11,2021-04-24,01:00:00,,2021-04-24 01:00:00,21.4538,26.6972,1.5124
,,12,2021-04-24,02:00:00,,2021-04-24 02:00:00,21.3844,26.9902,1.60544
,,13,2021-04-24,03:00:00,,2021-04-24 03:00:00,21.3684,28.5649,2.38652
,,14,2021-04-24,04:00:00,,2021-04-24 04:00:00,21.4805,28.1468,2.27582
,,15,2021-04-24,05:00:00,,2021-04-24 05:00:00,21.4538,28.9067,2.62762
,,16,2021-04-24,06:00:00,,2021-04-24 06:00:00,21.4218,28.1987,2.25116
,,17,2021-04-24,07:00:00,,2021-04-24 07:00:00,21.3844,28.0217,2.13061
,,18,2021-04-24,08:00:00,,2021-04-24 08:00:00,21.4645,28.2628,2.31982
,,19,2021-04-24,09:00:00,,2021-04-24 09:00:00,21.5927,29.1417,2.86164
,,20,2021-04-24,10:00:00,,2021-04-24 10:00:00,21.6461,27.4052,2.04323
,,21,2021-04-24,11:00:00,,2021-04-24 11:00:00,21.7475,25.6748,1.21842
,,22,2021-04-24,12:00:00,,2021-04-24 12:00:00,21.7315,25.3391,1.02164
,,23,2021-04-24,13:00:00,,2021-04-24 13:00:00,21.8009,27.2862,2.11493
,,24,2021-04-24,14:00:00,,2021-04-24 14:00:00,21.9024,27.3259,2.22228
,,25,2021-04-24,15:00:00,,2021-04-24 15:00:00,22.0306,27.3655,2.35251
,,26,2021-04-24,16:00:00,,2021-04-24 16:00:00,22.116,27.7226,2.60823
,,27,2021-04-24,17:00:00,,2021-04-24 17:00:00,21.8917,27.2465,2.1723
,,28,2021-04-24,18:00:00,,2021-04-24 18:00:00,21.5232,27.2038,1.83461
,,29,2021-04-24,19:00:00,,2021-04-24 19:00:00,21.2989,27.2343,1.6581
,,30,2021-04-24,20:00:00,,2021-04-24 20:00:00,21.4645,27.8935,2.13512
,,31,2021-04-24,21:00:00,,2021-04-24 21:00:00,21.5927,26.7887,1.67895
,,32,2021-04-24,22:00:00,,2021-04-24 22:00:00,21.5766,27.1702,1.86307
,,33,2021-04-24,23:00:00,,2021-04-24 23:00:00,21.5499,27.0329,1.76928
,,34,2021-04-25,00:00:00,,2021-04-25 00:00:00,21.3844,27.4571,1.84533
,,35,2021-04-25,01:00:00,,2021-04-25 01:00:00,21.4805,28.1163,2.26058
,,36,2021-04-25,02:00:00,,2021-04-25 02:00:00,21.5499,29.8131,3.14661
,,37,2021-04-25,03:00:00,,2021-04-25 03:00:00,21.2242,31.7479,3.75541
,,38,2021-04-25,04:00:00,,2021-04-25 04:00:00,21.3256,33.8354,4.75334
,,39,2021-04-25,05:00:00,,2021-04-25 05:00:00,21.4965,35.4681,5.58167
,,40,2021-04-25,06:00:00,,2021-04-25 06:00:00,21.5072,37.0703,6.23035
,,41,2021-04-25,07:00:00,,2021-04-25 07:00:00,21.3844,38.3185,6.60217
,,42,2021-04-25,08:00:00,,2021-04-25 08:00:00,21.4645,40.0244,7.30927
,,43,2021-04-25,09:00:00,,2021-04-25 09:00:00,21.4378,40.6744,7.52124
,,44,2021-04-25,10:00:00,,2021-04-25 10:00:00,21.4538,39.4293,7.08073
,,45,2021-04-25,11:00:00,,2021-04-25 11:00:00,21.3256,37.0031,6.04287
,,46,2021-04-25,12:00:00,,2021-04-25 12:00:00,21.6461,34.9584,5.50485
,,47,2021-04-25,13:00:00,,2021-04-25 13:00:00,21.4538,32.6757,4.36659
,,48,2021-04-25,14:00:00,,2021-04-25 14:00:00,21.3256,30.5882,3.31555
,,49,2021-04-25,15:00:00,,2021-04-25 15:00:00,21.4805,28.5649,2.48315
,,50,2021-04-25,16:00:00,,2021-04-25 16:00:00,21.3256,27.4296,1.78094
,,51,2021-04-25,17:00:00,,2021-04-25 17:00:00,21.3416,26.8254,1.48335
,,52,2021-04-25,18:00:00,,2021-04-25 18:00:00,21.4378,26.5507,1.42191
,,53,2021-04-25,19:00:00,,2021-04-25 19:00:00,21.6354,25.9464,1.26953
,,54,2021-04-25,20:00:00,,2021-04-25 20:00:00,21.5339,25.9403,1.17979
,,55,2021-04-25,21:00:00,,2021-04-25 21:00:00,21.6354,24.6372,0.550204
,,56,2021-04-25,22:00:00,,2021-04-25 22:00:00,21.5072,23.5569,-0.177365
,,57,2021-04-25,23:00:00,,2021-04-25 23:00:00,21.4645,23.1174,-0.472318
,,58,2021-04-26,00:00:00,,2021-04-26 00:00:00,21.5499,22.4491,-0.802998
,,59,2021-04-26,01:00:00,,2021-04-26 01:00:00,21.4645,22.1378,-1.06563
,,60,2021-04-26,02:00:00,,2021-04-26 02:00:00,21.4965,22.0737,-1.07845
,,61,2021-04-26,03:00:00,,2021-04-26 03:00:00,21.5339,21.8326,-1.19722
,,62,2021-04-26,04:00:00,,2021-04-26 04:00:00,21.5499,21.3474,-1.49036
,,63,2021-04-26,05:00:00,,2021-04-26 05:00:00,21.5927,21.0849,-1.62319
,,64,2021-04-26,06:00:00,,2021-04-26 06:00:00,21.5499,20.8225,-1.829
,,65,2021-04-26,07:00:00,,2021-04-26 07:00:00,21.5072,20.6577,-1.97235
,,66,2021-04-26,08:00:00,,2021-04-26 08:00:00,21.5072,20.56,-2.03662
,,67,2021-04-26,09:00:00,,2021-04-26 09:00:00,21.6888,20.2274,-2.10718
,,68,2021-04-26,10:00:00,,2021-04-26 10:00:00,21.7048,19.8703,-2.33505
,,69,2021-04-26,11:00:00,,2021-04-26 11:00:00,21.7048,18.9242,-2.99307
,,70,2021-04-26,12:00:00,,2021-04-26 12:00:00,21.6194,17.6181,-4.02098
,,71,2021-04-26,13:00:00,,2021-04-26 13:00:00,21.5927,16.5713,-4.85676
,,72,2021-04-26,14:00:00,,2021-04-26 14:00:00,21.3844,16.1715,-5.34804
,,73,2021-04-26,15:00:00,,2021-04-26 15:00:00,21.6087,15.613,-5.63015
,,74,2021-04-26,16:00:00,,2021-04-26 16:00:00,21.566,18.4482,-3.44916
,,75,2021-04-26,17:00:00,,2021-04-26 17:00:00,21.566,19.4888,-2.7115
,,76,2021-04-26,18:00:00,,2021-04-26 18:00:00,21.4538,19.971,-2.47428
,,77,2021-04-26,19:00:00,,2021-04-26 19:00:00,21.6888,19.3484,-2.70769
,,78,2021-04-26,20:00:00,,2021-04-26 20:00:00,21.5499,18.558,-3.38271
,,79,2021-04-26,21:00:00,,2021-04-26 21:00:00,21.5339,19.0158,-3.06871
,,80,2021-04-26,22:00:00,,2021-04-26 22:00:00,21.566,17.8744,-3.8718
,,81,2021-04-26,23:00:00,,2021-04-26 23:00:00,21.5072,18.2956,-3.60853
,,82,2021-04-27,00:00:00,,2021-04-27 00:00:00,21.6087,21.9638,-1.05285
,,83,2021-04-27,01:00:00,,2021-04-27 01:00:00,21.5766,24.3229,0.322776
,,84,2021-04-27,02:00:00,,2021-04-27 02:00:00,21.5339,25.2934,0.828619
,,85,2021-04-27,03:00:00,,2021-04-27 03:00:00,21.6194,25.5924,1.06463
,,86,2021-04-27,04:00:00,,2021-04-27 04:00:00,21.5232,24.8356,0.566252
,,87,2021-04-27,05:00:00,,2021-04-27 05:00:00,21.5766,24.5731,0.464383
,,88,2021-04-27,06:00:00,,2021-04-27 06:00:00,21.4645,24.6555,0.41572
,,89,2021-04-27,07:00:00,,2021-04-27 07:00:00,21.6087,24.3839,0.384544
,,90,2021-04-27,08:00:00,,2021-04-27 08:00:00,21.4965,23.8773,-0.000198553
,,91,2021-04-27,09:00:00,,2021-04-27 09:00:00,21.5499,22.4674,-0.791828
,,92,2021-04-27,10:00:00,,2021-04-27 10:00:00,21.6087,21.6739,-1.23436
,,93,2021-04-27,11:00:00,,2021-04-27 11:00:00,21.6194,21.7746,-1.16215
