pendant.OMEGA,shelter.open,rep,fabric,date,temp.omega,humidity,percent.germination.phaclia ,percent.germination.buckhorn,percent.germination.tidytips,day,trial 
15402,open,1,none,01-03-2021,21.3951,27.8691,0,0,,1,1
15402,open,1,none,01-03-2021,21.5072,24.0604,0,0,,1,1
15402,open,1,none,01-03-2021,21.4218,24.5212,0,0,,1,1
15402,open,1,none,01-03-2021,21.3256,25.5711,0,0,,1,1
15402,open,1,none,01-03-2021,21.2669,23.3127,0,0,,1,1
15402,open,1,none,01-03-2021,21.1921,23.0045,0,0,,1,1
15402,open,1,none,01-03-2021,21.2081,23.2975,0,0,,1,1
15402,open,1,none,01-03-2021,21.2081,23.8895,0,0,,1,1
15402,open,1,none,02-03-2021,21.1654,21.146,0,0,,2,1
15402,open,1,none,02-03-2021,21.1494,22.6658,0,0,,2,1
15402,open,1,none,02-03-2021,21.1067,21.8814,0,0,,2,1
15402,open,1,none,02-03-2021,21.1387,22.7665,0,0,,2,1
15402,open,1,none,02-03-2021,21.08,21.0391,0,0,,2,1
15402,open,1,none,02-03-2021,21.0266,20.4715,0,0,,2,1
15402,open,1,none,02-03-2021,21.6033,20.6088,0,0,,2,1
15402,open,1,none,02-03-2021,21.7315,21.03,0,0,,2,1
15402,open,1,none,02-03-2021,21.7048,23.0259,0,0,,2,1
15402,open,1,none,02-03-2021,21.7155,22.1714,0,0,,2,1
15402,open,1,none,02-03-2021,21.7742,21.5579,0,0,,2,1
15402,open,1,none,02-03-2021,21.8009,23.035,0,0,,2,1
15402,open,1,none,02-03-2021,21.7155,22.858,0,0,,2,1
15402,open,1,none,02-03-2021,21.7155,23.2914,0,0,,2,1
15402,open,1,none,02-03-2021,21.7315,22.9099,0,0,,2,1
15402,open,1,none,02-03-2021,21.7742,23.0472,0,0,,2,1
15402,open,1,none,02-03-2021,21.8437,23.4195,0,0,,2,1
15402,open,1,none,02-03-2021,21.7742,23.8071,0,0,,2,1
15402,open,1,none,02-03-2021,21.7582,23.6545,0,0,,2,1
15402,open,1,none,02-03-2021,21.7475,24.1093,0,0,,2,1
15402,open,1,none,02-03-2021,21.7742,24.622,0,0,,2,1
15402,open,1,none,02-03-2021,21.8009,24.036,0,0,,2,1
15402,open,1,none,02-03-2021,21.7475,24.0909,0,0,,2,1
15402,open,1,none,02-03-2021,21.2081,25.3391,0,0,,2,1
15402,open,1,none,03-03-2021,21.2829,27.1,0,0,,3,1
15402,open,1,none,03-03-2021,21.3096,27.2038,0,0,,3,1
15402,open,1,none,03-03-2021,21.3096,26.6056,0,0,,3,1
15402,open,1,none,03-03-2021,21.2242,26.4408,0,0,,3,1
15402,open,1,none,03-03-2021,21.1921,26.7735,0,0,,3,1
15402,open,1,none,03-03-2021,21.1387,27.4815,0,0,,3,1
15402,open,1,none,03-03-2021,21.7475,28.3452,0,0,,3,1
15402,open,1,none,03-03-2021,21.7742,29.2882,0,0,,3,1
15402,open,1,none,03-03-2021,21.9718,26.9749,0,0,,3,1
15402,open,1,none,03-03-2021,21.8864,29.2393,0,0,,3,1
15402,open,1,none,03-03-2021,21.8276,30.0389,0,0,,3,1
15402,open,1,none,03-03-2021,21.8009,30.927,0,0,,3,1
15402,open,1,none,03-03-2021,21.8437,32.8099,0,0,,3,1
15402,open,1,none,03-03-2021,21.817,33.0327,0,0,,3,1
15402,open,1,none,03-03-2021,21.7155,32.932,0,0,,3,1
15402,open,1,none,03-03-2021,21.817,31.6228,0,0,,3,1
15402,open,1,none,03-03-2021,21.8009,31.1101,0,0,,3,1
15402,open,1,none,03-03-2021,21.9184,32.0531,0,0,,3,1
15402,open,1,none,03-03-2021,21.9291,31.5435,0,0,,3,1
15402,open,1,none,03-03-2021,21.9718,30.985,0,0,,3,1
15402,open,1,none,03-03-2021,21.3256,31.6411,0,0,,3,1
15402,open,1,none,03-03-2021,21.2936,30.5058,0,0,,3,1
15402,open,1,none,03-03-2021,21.3096,30.808,0,0,,3,1
15402,open,1,none,03-03-2021,21.3096,30.5516,0,0,,3,1
15402,open,1,none,04-03-2021,21.2936,29.8253,0,0,,4,1
15402,open,1,none,04-03-2021,21.2936,30.1396,0,0,,4,1
15402,open,1,none,04-03-2021,21.2936,29.807,0,0,,4,1
15402,open,1,none,04-03-2021,21.2829,29.2485,0,0,,4,1
15402,open,1,none,04-03-2021,21.3096,28.629,0,0,,4,1
