unique.bird,bird.id,date,month,day,month.day.hour,season,walk,start.time,end.time,lat,lon,order,family,species,migratory.class,trophic.guild,behavior,broad.behavior,mesohabitat,two.mesohabitat,three.mesohabitat,five.mesohabitat,mesohabitat.height,photo.id,hour,time,distance,transect,transect.start.lat,transect.start.lon,transect.end.lat,transect.end.lon,notes
101flower,101,5/1/2019,5,1,5.1.16,spring,3,16:35,18:35,34.77935,-115.66249,Passeriformes,Mimidae,Northern Mockingbird,resident,omnivore,Flying between plants,Active movement,shrub,vegetative,shrub,shrub,na,no photo,16,18:00,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
102flower,102,5/1/2019,5,1,5.1.16,spring,3,16:35,18:35,34.78146,-115.66301,Passeriformes,Troglodytidae,Rock Wren,resident,insectivore,Standing on ground,Inactivity,rock,non-vegetative,other,land,na,157.171,16,18:14,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
103fruit,103,8/18/2019,8,18,8.18.6,summer,34,6:30,8:30,34.78331,-115.66223,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Standing on ground,Inactivity,rock,non-vegetative,other,land,na,no photo,6,6:59,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
104flower,104,5/1/2019,5,1,5.1.16,spring,3,16:35,18:35,34,-115,Passeriformes,Ptiliogonatidae,Phainopepla,resident,frugivore,Flying,Active movement,rock,non-vegetative,other,land,na,no photo,16,18:17,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
104fruit,104,8/18/2019,8,18,8.18.6,summer,34,6:30,8:30,34.78331,-115.66223,Passeriformes,Troglodytidae,Bewick's Wren,resident,insectivore,Flying,Active movement,shrub,vegetative,shrub,shrub,100,no photo,6,7:04,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
105flower,105,5/1/2019,5,1,5.1.16,spring,3,16:35,18:35,34.78271,-115.66242,Passeriformes,Ptiliogonatidae,Phainopepla,resident,frugivore,Standing on plant,Inactivity,shrub,vegetative,shrub,shrub,na,no photo,16,18:22,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
105fruit,105,8/18/2019,8,18,8.18.6,summer,34,6:30,8:30,34,-115,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Calling,Territorial/mating,yucca,vegetative,cactus,yucca,100,06-Apr,6,7:13,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
107flower,107,5/1/2019,5,1,5.1.16,spring,3,16:35,18:35,34.78299,-115.66221,Passeriformes,Fringillidae,House Finch,resident,frugivore,Singing,Territorial/mating,cactus canopy,vegetative,cactus,cactus,na,no photo,16,18:24,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
108flower,108,5/1/2019,5,1,5.1.16,spring,3,16:35,18:35,34.78299,-115.66221,Passeriformes,Fringillidae,House Finch,resident,frugivore,Sparring,Territorial/mating,cactus canopy,vegetative,cactus,cactus,na,no photo,16,18:24,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
109flower,109,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78297,-115.66302,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Calling,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,6:25,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
10fruit,10,8/14/2019,8,14,8.14.17,summer,27,17:30,19:30,34.78042,-115.66277,Passeriformes,Passerellidae,Black.throated Sparrow,resident,granivore,Calling,Territorial/mating,yucca,vegetative,cactus,yucca,75,112-122,17,19:20,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
110flower,110,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78294,-115.66297,Apodiformes,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Flying,Active movement,shrub,vegetative,shrub,shrub,na,175.19,6,6:25,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
111flower,111,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78289,-115.66292,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Sparring,Territorial/mating,shrub,vegetative,shrub,shrub,na,191,6,6:27,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
112flower,112,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78289,-115.66292,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Sparring,Territorial/mating,shrub,vegetative,shrub,shrub,na,no photo,6,6:27,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
113flower,113,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78296,-115.6629,Passeriformes,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Standing on plant,Inactivity,shrub,vegetative,shrub,shrub,na,no photo,6,6:27,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
113fruit,113,8/18/2019,8,18,8.18.6,summer,34,6:30,8:30,34.78073,-115.66273,Passeriformes,Troglodytidae,Cactus Wren,resident,omnivore,Calling,Territorial/mating,yucca,vegetative,cactus,yucca,50,no photo,6,7:35,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
114fruit,114,8/18/2019,8,18,8.18.6,summer,34,6:30,8:30,34.78073,-115.66273,Passeriformes,Troglodytidae,Cactus Wren,resident,omnivore,Flying,Active movement,yucca,vegetative,cactus,yucca,50,no photo,6,7:46,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
115flower,115,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34.78319,-115.66304,Columbiformes,Columbidae,Mourning Dove,resident,granivore,Standing on ground,Inactivity,rock,non-vegetative,other,land,na,192.195,6,6:33,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
117flower,117,5/2/2019,5,2,5.2.6,spring,4,6:25,8:25,34,-115,Passeriformes,Mimidae,Northern Mockingbird,resident,omnivore,Singing,Territorial/mating,cactus canopy,vegetative,cactus,cactus,na,195.198,6,6:35,1,2,34.78303,-115.66309,34.77863,-115.66402,no notes
