,X,Hour.of.Day.Ending.at.LST,Hour,Total.Solar.Rad..ly,X.Wind.Ave.mph,X.Wind.V.Dir.Deg,X.Wind.Max.mph,Air.Temperature.Mean.Deg.F,Soil.Temperature.Mean.Deg.F,Relative.Humidity.Mean.Perent,X.Dew.Point.Deg.F,X.Wet.Bulb.Deg.F,X.Baro.Press.in.Hg,X.Total.Preip.inhes,day,month,year,month.day.hour
1,5,1:00 AM,1,0,8.6,310,12.8,54.3,59.4,22,16,38,25.76,0,1,4,19,4.1.1
2,6,2:00 AM,2,0,7.3,310,12.7,54.5,59,21,16,39,25.75,0,1,4,19,4.1.2
3,7,3:00 AM,3,0,7.9,313,11.8,54.3,58.6,21,16,38,25.74,0,1,4,19,4.1.3
4,8,4:00 AM,4,0,4.6,300,10.7,51.6,58.2,24,16,37,25.74,0,1,4,19,4.1.4
5,9,5:00 AM,5,0,3,286,5,46,57.8,29,16,34,25.74,0,1,4,19,4.1.5
6,10,6:00 AM,6,0.7,2.6,350,6.7,48.3,57.4,22,12,34,25.75,0,1,4,19,4.1.6
7,11,7:00 AM,7,14.1,2.9,33,7.4,57.1,56.9,17,13,39,25.76,0,1,4,19,4.1.7
8,12,8:00 AM,8,28.2,5.6,105,14.9,59.8,56.4,17,15,41,25.76,0,1,4,19,4.1.8
9,13,9:00 AM,9,49.3,8.7,103,16.1,60.9,56,18,17,42,25.77,0,1,4,19,4.1.9
10,14,10:00 AM,10,57.2,7,105,13.3,62.5,55.8,17,17,43,25.77,0,1,4,19,4.1.10
11,15,11:00 AM,11,66.6,7.2,119,17.2,63.5,55.7,17,17,43,25.76,0,1,4,19,4.1.11
12,16,12:00 PM,12,65.9,6.5,118,14.5,63.9,56,15,16,43,25.75,0,1,4,19,4.1.12
13,17,1:00 PM,13,59.2,4.5,135,14.5,64.4,56.5,14,14,43,25.73,0,1,4,19,4.1.13
14,18,2:00 PM,14,60.7,5.5,125,14.8,65.4,57.3,14,14,43,25.71,0,1,4,19,4.1.14
15,19,3:00 PM,15,44,4.3,135,12.3,65.8,58.2,13,14,43,25.69,0,1,4,19,4.1.15
16,20,4:00 PM,16,36.7,3.8,124,12.8,65.2,59.1,13,13,43,25.67,0,1,4,19,4.1.16
17,21,5:00 PM,17,19.2,3,120,8,64.5,59.9,13,12,43,25.66,0,1,4,19,4.1.17
18,22,6:00 PM,18,4,2.3,118,6.1,61.4,60.6,14,11,41,25.66,0,1,4,19,4.1.18
19,23,7:00 PM,19,0,0.9,314,3,54.9,61.1,21,16,39,25.65,0,1,4,19,4.1.19
20,24,8:00 PM,20,0,1.4,288,2.9,53.1,61.2,24,17,38,25.66,0,1,4,19,4.1.20
21,25,9:00 PM,21,0,2.2,287,3.7,51.1,61.1,27,18,37,25.66,0,1,4,19,4.1.21
22,26,10:00 PM,22,0,3.2,289,4.4,51.3,60.8,26,18,37,25.66,0,1,4,19,4.1.22
23,27,11:00 PM,23,0,2.9,287,4.5,53.9,60.4,23,17,38,25.65,0,1,4,19,4.1.23
24,28,12:00 AM,0,0,2.5,286,4.9,54.6,60,23,17,39,25.65,0,1,4,19,4.1.0
25,51,1:00 AM,1,0,2.6,279,4.4,50.7,59.6,28,19,37,25.63,0,2,4,19,4.2.1
26,61,2:00 AM,2,0,3.8,274,8.2,54.3,59.1,27,21,40,25.62,0,2,4,19,4.2.2
27,71,3:00 AM,3,0,2.4,281,5.4,55.1,58.7,30,24,41,25.6,0,2,4,19,4.2.3
28,81,4:00 AM,4,0,1.7,272,3.9,52.1,58.3,35,25,40,25.59,0,2,4,19,4.2.4
29,91,5:00 AM,5,0,2.2,271,5.5,52.4,57.8,32,23,39,25.58,0,2,4,19,4.2.5
30,101,6:00 AM,6,0.6,3.1,274,5.6,52.5,57.4,33,24,40,25.59,0,2,4,19,4.2.6
31,111,7:00 AM,7,5.4,2.8,282,5.3,54.5,57.1,33,26,41,25.59,0,2,4,19,4.2.7
32,121,8:00 AM,8,17.9,1,243,4.8,60.3,56.7,25,24,43,25.6,0,2,4,19,4.2.8
33,131,9:00 AM,9,33.7,2.1,130,6.9,62,56.4,20,20,43,25.6,0,2,4,19,4.2.9
34,141,10:00 AM,10,56.8,4.1,194,13.6,64.1,56.2,20,22,44,25.61,0,2,4,19,4.2.10
35,151,11:00 AM,11,72.7,5.2,216,13.5,65.3,56.3,18,21,45,25.6,0,2,4,19,4.2.11
36,161,12:00 PM,12,76.7,5.4,244,15,66.6,56.6,19,23,46,25.59,0,2,4,19,4.2.12
37,171,1:00 PM,13,75.7,4.1,208,14.7,67.5,57.1,19,24,46,25.58,0,2,4,19,4.2.13
38,181,2:00 PM,14,65.2,7.6,216,25.4,66.7,58,19,24,46,25.56,0,2,4,19,4.2.14
39,191,3:00 PM,15,57.4,4.6,204,18.4,68.3,59.1,18,23,47,25.53,0,2,4,19,4.2.15
40,201,4:00 PM,16,30.4,7.5,224,21.6,67.1,60.2,19,23,46,25.52,0,2,4,19,4.2.16
41,211,5:00 PM,17,25.1,12.1,279,25.1,65.6,61.1,17,20,45,25.51,0,2,4,19,4.2.17
42,221,6:00 PM,18,3.3,12.9,271,25.6,61,62,22,22,43,25.51,0,2,4,19,4.2.18
43,231,7:00 PM,19,0.1,11.1,272,24.8,57.9,62.4,28,25,42,25.51,0,2,4,19,4.2.19
44,241,8:00 PM,20,0,13.5,281,25.4,55.3,62.6,36,29,42,25.53,0,2,4,19,4.2.20
