researcher,day,date,hour_HOBO,hour_OMEGA,temp,intensity,humidity,pendant_id,lat,long,region,site_code,sensor_pendant,microsite,rep
ng,3,17-02-2023,18:00:00,,6.471,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,3,17-02-2023,19:00:00,,6.573,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,3,17-02-2023,20:00:00,,5.347,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,3,17-02-2023,21:00:00,,4.934,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,3,17-02-2023,22:00:00,,2.517,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,3,17-02-2023,23:00:00,,0.563,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,0:00:00,,-0.549,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,1:00:00,,-2.145,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,2:00:00,,-2.03,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,3:00:00,,-2.61,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,4:00:00,,-1.341,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,5:00:00,,-1.456,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,6:00:00,,-1.114,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,7:00:00,,0.674,2304,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,8:00:00,,16.046,7680,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,9:00:00,,22.142,8704,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,10:00:00,,32.704,8704,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,11:00:00,,18.521,3072,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,12:00:00,,19.377,2304,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,13:00:00,,18.806,2048,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,14:00:00,,18.521,1536,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,15:00:00,,17.57,1472,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,16:00:00,,16.332,1344,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,17:00:00,,15.187,800,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,18:00:00,,7.882,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,19:00:00,,5.45,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,20:00:00,,1.872,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,21:00:00,,1.764,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,22:00:00,,2.624,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,4,18-02-2023,23:00:00,,1.112,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
ng,5,19-02-2023,0:00:00,,1.003,0,,10641599,35.11947,-119.62962,Carrizo,Carrizo_4,HOBO,square,1
