researcher,day,date,hour_HOBO,hour_OMEGA,temp,intensity,humidity,pendant_id,lat,long,region,site_code,sensor_pendant,microsite,rep
ng,13,26-05-22,1:00:00 PM,,52.149,7168,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,2:00:00 PM,,48.155,3456,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,3:00:00 PM,,51.014,3712,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,4:00:00 PM,,47.499,1152,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,5:00:00 PM,,48.288,1984,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,6:00:00 PM,,43.359,1344,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,7:00:00 PM,,39.615,464,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,8:00:00 PM,,34.374,4,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,9:00:00 PM,,32.911,0,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,10:00:00 PM,,31.37,0,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,13,26-05-22,11:00:00 PM,,28.06,0,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,12:00:00 AM,,29.152,0,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,1:00:00 AM,,27.272,0,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,2:00:00 AM,,26.977,0,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,3:00:00 AM,,27.075,0,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,4:00:00 AM,,25.902,0,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,5:00:00 AM,,25.125,0,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,6:00:00 AM,,25.416,80,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,7:00:00 AM,,29.752,800,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,8:00:00 AM,,33.014,960,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,9:00:00 AM,,35.756,1280,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
ng,14,27-05-22,10:00:00 AM,,38.157,1216,,1174236,35.85309,-116.18443,Mojave,Tecopa,HOBO,square,8
