project_id,site,microsite,animal_hit,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,scientific_name,year
2006384,Carrizo_4,Ephedra californica,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-03 4:15,Lepus californicus,2023
2006384,Carrizo_4,Ephedra californica,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-06 2:55,Lepus californicus,2023
2006384,Carrizo_4,Ephedra californica,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-09 4:32,Lepus californicus,2023
2006384,Carrizo_4,square,1,Minahil Malik,bb2be16f-b283-455b-9068-aedea2a3d22d,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's Kangaroo Rat,,2021-01-03 1:37,Dipodomys heermanni,2023
2006384,Carrizo_4,square,1,Minahil Malik,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-02 18:24,Dipodomys ingens,2023
2006384,Carrizo_4,square,1,Minahil Malik,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-02 23:35,Dipodomys ingens,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,4457a0c6-cb68-44c0-9c27-ad08abe57755,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit Fox,,2021-01-05 20:31,Vulpes macrotis,2023
2006384,Carrizo_soda_open,open,1,Minahil Malik,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-31 4:58,Dipodomys ingens,2023
2006384,Carrizo_soda_open,open,1,Minahil Malik,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-31 5:47,Dipodomys ingens,2023
2006384,Carrizo_4,Ephedra californica,1,Minahil Malik,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-31 6:19,Ammospermophilus nelsoni,2023
2006384,Carrizo_4,square,1,Minahil Malik,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-31 8:10,Ammospermophilus nelsoni,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,404bce49-ba9d-41b0-a6e2-bac7849da257,Mammalia,Rodentia,Heteromyidae,Dipodomys,ingens,Giant Kangaroo Rat,,2021-01-30 21:30,Dipodomys ingens,2023
