rep_continous,scientific_name,microsite,site_code,region,year,season,captures,total,percent_proportion
1,Ammospermophilus nelsoni,Ephedra californica,Carrizo_4,San Joaquin,2022,spring,90,243,0.37037037
2,Ammospermophilus nelsoni,square,Carrizo_soda_open,San Joaquin,2022,spring,6,243,0.024691358
3,Ammospermophilus nelsoni,triangle,Carrizo_4,San Joaquin,2022,spring,59,243,0.242798354
4,Ammospermophilus nelsoni,square,Carrizo_4,San Joaquin,2022,spring,59,243,0.242798354
5,Ammospermophilus nelsoni,triangle,Carrizo_soda_open,San Joaquin,2022,spring,8,243,0.032921811
6,Ammospermophilus nelsoni,open,Carrizo_soda_open,San Joaquin,2022,spring,21,243,0.086419753
7,Canis latrans,square,Carrizo_4,San Joaquin,2022,spring,4,49,0.081632653
8,Canis latrans,triangle,Carrizo_soda_open,San Joaquin,2022,spring,7,49,0.142857143
9,Canis latrans,Ephedra californica,Carrizo_4,San Joaquin,2022,spring,6,49,0.12244898
10,Canis latrans,triangle,Carrizo_4,San Joaquin,2022,spring,20,49,0.408163265
11,Canis latrans,square,Carrizo_soda_open,San Joaquin,2022,spring,7,49,0.142857143
12,Canis latrans,open,Carrizo_soda_open,San Joaquin,2022,spring,5,49,0.102040816
13,Dipodomys heermanni,triangle,Carrizo_4,San Joaquin,2022,spring,290,882,0.328798186
14,Dipodomys heermanni,open,Carrizo_soda_open,San Joaquin,2022,spring,114,882,0.129251701
15,Dipodomys heermanni,Ephedra californica,Carrizo_4,San Joaquin,2022,spring,160,882,0.181405896
16,Dipodomys heermanni,square,Carrizo_soda_open,San Joaquin,2022,spring,23,882,0.026077098
17,Dipodomys heermanni,triangle,Carrizo_soda_open,San Joaquin,2022,spring,131,882,0.148526077
18,Dipodomys heermanni,square,Carrizo_4,San Joaquin,2022,spring,164,882,0.185941043
19,Dipodomys ingens,triangle,Carrizo_4,San Joaquin,2022,spring,96,338,0.284023669
20,Dipodomys ingens,Ephedra californica,Carrizo_4,San Joaquin,2022,spring,54,338,0.159763314
21,Dipodomys ingens,open,Carrizo_soda_open,San Joaquin,2022,spring,21,338,0.062130178
22,Dipodomys ingens,square,Carrizo_soda_open,San Joaquin,2022,spring,16,338,0.047337278
23,Dipodomys ingens,triangle,Carrizo_soda_open,San Joaquin,2022,spring,46,338,0.136094675
24,Dipodomys ingens,square,Carrizo_4,San Joaquin,2022,spring,105,338,0.310650888
25,Dipodomys nelsoni,triangle,Carrizo_4,San Joaquin,2022,spring,1,1,1
26,Eremophila alpestris,open,Carrizo_soda_open,San Joaquin,2022,spring,1,1,1
27,Lepus californicus,square,Carrizo_soda_open,San Joaquin,2022,spring,4,71,0.056338028
28,Lepus californicus,Ephedra californica,Carrizo_4,San Joaquin,2022,spring,10,71,0.14084507
29,Lepus californicus,open,Carrizo_soda_open,San Joaquin,2022,spring,7,71,0.098591549
30,Lepus californicus,triangle,Carrizo_4,San Joaquin,2022,spring,22,71,0.309859155
31,Lepus californicus,square,Carrizo_4,San Joaquin,2022,spring,21,71,0.295774648
32,Lepus californicus,triangle,Carrizo_soda_open,San Joaquin,2022,spring,7,71,0.098591549
33,Sylvilagus audubonii,square,Carrizo_soda_open,San Joaquin,2022,spring,3,11,0.272727273
34,Sylvilagus audubonii,open,Carrizo_soda_open,San Joaquin,2022,spring,3,11,0.272727273
35,Sylvilagus audubonii,square,Carrizo_4,San Joaquin,2022,spring,4,11,0.363636364
36,Sylvilagus audubonii,Ephedra californica,Carrizo_4,San Joaquin,2022,spring,1,11,0.090909091
37,Taxidea taxus,open,Carrizo_soda_open,San Joaquin,2022,spring,1,3,0.333333333
38,Taxidea taxus,triangle,Carrizo_4,San Joaquin,2022,spring,1,3,0.333333333
39,Taxidea taxus,square,Carrizo_4,San Joaquin,2022,spring,1,3,0.333333333
40,Vulpes macrotis,open,Carrizo_soda_open,San Joaquin,2022,spring,10,53,0.188679245
41,Vulpes macrotis,Ephedra californica,Carrizo_4,San Joaquin,2022,spring,11,53,0.20754717
42,Vulpes macrotis,triangle,Carrizo_4,San Joaquin,2022,spring,11,53,0.20754717
43,Vulpes macrotis,triangle,Carrizo_soda_open,San Joaquin,2022,spring,3,53,0.056603774
44,Vulpes macrotis,square,Carrizo_soda_open,San Joaquin,2022,spring,7,53,0.132075472
45,Vulpes macrotis,square,Carrizo_4,San Joaquin,2022,spring,11,53,0.20754717
46,Xerospermophilus tereticaudus,Ephedra californica,Carrizo_4,San Joaquin,2022,spring,1,2,0.5
47,Xerospermophilus tereticaudus,square,Carrizo_4,San Joaquin,2022,spring,1,2,0.5
48,Ammospermophilus leucurus,triangle,Carrizo_4,San Joaquin,2023,spring,1,1,1
49,Ammospermophilus nelsoni,Ephedra californica,Carrizo_4,San Joaquin,2023,spring,6,51,0.117647059
50,Ammospermophilus nelsoni,square,Carrizo_4,San Joaquin,2023,spring,21,51,0.411764706
51,Ammospermophilus nelsoni,square,Carrizo_soda_open,San Joaquin,2023,spring,1,51,0.019607843
52,Ammospermophilus nelsoni,open,Carrizo_soda_open,San Joaquin,2023,spring,4,51,0.078431373
53,Ammospermophilus nelsoni,triangle,Carrizo_4,San Joaquin,2023,spring,15,51,0.294117647
54,Ammospermophilus nelsoni,triangle,Carrizo_soda_open,San Joaquin,2023,spring,4,51,0.078431373
55,Antilocapra americana,square,Carrizo_soda_open,San Joaquin,2023,spring,1,5,0.2
56,Antilocapra americana,triangle,Carrizo_soda_open,San Joaquin,2023,spring,2,5,0.4
