column,description
rep_continous,continous rep generated by R
scientific_name,species binomial name
microsite,"Ephedra californica, Larrea tridentata, triangle, square, open"
site_code,"Carrizo_4, Carrizo_soda_open, Tecopa_shrub, Tecopa_open"
region,"San Joaquin, Mojave"
year,"2022, 2023"
season,"spring, winter"
captures,number of captures of the particular species captured at that site and microsite
total,total number of species captures at the site
percent_proportion,ratio of captures to total
