"scientific_name","microsite","captures","total"
"Ammospermophilus leucurus","triangle",1,1
"Ammospermophilus nelsoni","Ephedra californica",6,51
"Ammospermophilus nelsoni","square",22,51
"Ammospermophilus nelsoni","open",4,51
"Ammospermophilus nelsoni","triangle",19,51
"Antilocapra americana","open",2,5
"Antilocapra americana","square",1,5
"Antilocapra americana","triangle",2,5
"Canis latrans","square",4,9
"Canis latrans","triangle",4,9
"Canis latrans","open",1,9
"Corvus brachyrhynchos","triangle",2,2
"Dipodomys heermanni","Ephedra californica",10,195
"Dipodomys heermanni","open",16,195
"Dipodomys heermanni","square",120,195
"Dipodomys heermanni","triangle",49,195
"Dipodomys ingens","triangle",103,188
"Dipodomys ingens","open",11,188
"Dipodomys ingens","Ephedra californica",12,188
"Dipodomys ingens","square",62,188
"Eremophila alpestris","triangle",1,1
"Lepus californicus","triangle",22,46
"Lepus californicus","Ephedra californica",8,46
"Lepus californicus","square",16,46
"Vulpes macrotis","open",1,13
"Vulpes macrotis","square",3,13
"Vulpes macrotis","triangle",9,13
