"","researcher","date","day","hour_HOBO","hour_OMEGA","day_humidity","temp","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","intensity.triangle","intensity.square","intensity.Ephedra californica","intensity.open"
"1","ng","2022-05-14",2,"1:00:00 PM","",NA,50.595,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,184,1728,2944,368
"2","ng","2022-05-14",2,"2:00:00 PM","",NA,46.85,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,0,1920,1
"3","ng","2022-05-14",2,"3:00:00 PM","",NA,44.089,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,0,1024,1
"4","ng","2022-05-14",2,"4:00:00 PM","",NA,42.164,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,1,608,0
"5","ng","2022-05-14",2,"5:00:00 PM","",NA,40.645,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,0,464,1
"6","ng","2022-05-14",2,"6:00:00 PM","",NA,40.071,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,0,320,0
"7","ng","2022-05-14",2,"7:00:00 PM","",NA,38.714,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,0,184,0
"8","ng","2022-05-14",2,"8:00:00 PM","",NA,35.115,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,0,12,0
"9","ng","2022-05-14",2,"9:00:00 PM","",NA,31.37,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,0,0,0
"10","ng","2022-05-14",2,"10:00:00 PM","",NA,28.853,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,0,0,0
"11","ng","2022-05-14",2,"11:00:00 PM","",NA,26.683,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,0,0,0,0
