"","X","researcher","hourdate_HOBO","hour_ELITECH","temp","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","intensity.Ephedra.californica","intensity.triangle","intensity.square","intensity.open"
"1",1,"ng","04/20/23 03:00:00  PM","",37.494,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4608,3968,2432,2560
"2",2,"ng","04/20/23 04:00:00  PM","",38.379,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4352,3328,1664,2304
"3",3,"ng","04/20/23 05:00:00  PM","",38.602,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4608,3200,1472,1920
"4",4,"ng","04/20/23 06:00:00  PM","",33.743,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3840,2816,1344,1408
"5",5,"ng","04/20/23 07:00:00  PM","",14.804,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,336,1536,336,176
"6",6,"ng","04/20/23 08:00:00  PM","",3.261,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"7",7,"ng","04/20/23 09:00:00  PM","",1.439,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"8",8,"ng","04/20/23 10:00:00  PM","",2.088,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"9",9,"ng","04/20/23 11:00:00  PM","",1.439,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"10",10,"ng","04/21/23 12:00:00  AM","",1.112,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"11",11,"ng","04/21/23 01:00:00  AM","",1.112,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"12",12,"ng","04/21/23 02:00:00  AM","",1.548,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"13",13,"ng","04/21/23 03:00:00  AM","",1.764,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"14",14,"ng","04/21/23 04:00:00  AM","",0.121,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"15",15,"ng","04/21/23 05:00:00  AM","",0.674,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"16",16,"ng","04/21/23 06:00:00  AM","",0.343,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,2,4,0
"17",17,"ng","04/21/23 07:00:00  AM","",2.195,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,104,2304,3072,184
"18",18,"ng","04/21/23 08:00:00  AM","",8.082,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,248,4864,7936,1408
"19",19,"ng","04/21/23 09:00:00  AM","",13.942,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,576,6912,9216,1728
"20",20,"ng","04/21/23 10:00:00  AM","",22.621,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,992,5888,9216,2048
"21",21,"ng","04/21/23 11:00:00  AM","",27.764,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2176,6400,4864,2304
"22",22,"ng","04/21/23 12:00:00  PM","",35.115,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3456,4608,3712,2304
"23",23,"ng","04/21/23 01:00:00  PM","",38.938,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4096,3840,3456,2432
"24",24,"ng","04/21/23 02:00:00  PM","",40.876,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4608,3456,2048,2432
"25",25,"ng","04/21/23 03:00:00  PM","",42.52,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4864,3200,1728,2432
"26",26,"ng","04/21/23 04:00:00  PM","",43.48,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4864,2560,1536,2304
"27",27,"ng","04/21/23 05:00:00  PM","",40.645,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4352,2944,1408,1920
"28",28,"ng","04/21/23 06:00:00  PM","",37.384,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3712,2560,1216,1344
"29",29,"ng","04/21/23 07:00:00  PM","",20.329,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,288,1600,352,192
"30",30,"ng","04/21/23 08:00:00  PM","",9.373,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"31",31,"ng","04/21/23 09:00:00  PM","",7.28,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"32",32,"ng","04/21/23 10:00:00  PM","",6.674,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"33",33,"ng","04/21/23 11:00:00  PM","",5.962,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"34",34,"ng","04/22/23 12:00:00  AM","",5.552,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"35",35,"ng","04/22/23 01:00:00  AM","",5.45,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"36",36,"ng","04/22/23 02:00:00  AM","",4.831,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"37",37,"ng","04/22/23 03:00:00  AM","",4.727,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"38",38,"ng","04/22/23 04:00:00  AM","",5.141,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"39",39,"ng","04/22/23 05:00:00  AM","",4.519,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,0,0,0
"40",40,"ng","04/22/23 06:00:00  AM","",4.311,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0,2,3,0
"41",41,"ng","04/22/23 07:00:00  AM","",5.552,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,128,2304,4096,144
"42",42,"ng","04/22/23 08:00:00  AM","",10.846,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,288,5376,8192,1408
"43",43,"ng","04/22/23 09:00:00  AM","",15.855,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,800,7680,9216,1920
"44",44,"ng","04/22/23 10:00:00  AM","",26.977,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1216,5888,8704,2176
"45",45,"ng","04/22/23 11:00:00  AM","",30.862,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2176,6656,3456,2304
"46",46,"ng","04/22/23 12:00:00  PM","",37.494,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3328,5376,3968,2432
"47",47,"ng","04/22/23 01:00:00  PM","",41.108,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4096,3456,3200,2560
