"","researcher","day","date","hour_HOBO","hour_OMEGA","temp","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","intensity.square","intensity.Larrea tridentata","intensity.triangle","intensity.open"
"1","ng",13,"26-05-22","1:00:00 PM",NA,52.149,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,7168,3840,14336,24576
"2","ng",13,"26-05-22","2:00:00 PM",NA,48.155,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,3456,2944,12800,23552
"3","ng",13,"26-05-22","3:00:00 PM",NA,51.014,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,3712,3072,14848,12288
"4","ng",13,"26-05-22","4:00:00 PM",NA,47.499,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,1152,2816,4096,4608
"5","ng",13,"26-05-22","5:00:00 PM",NA,48.288,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,1984,2304,7680,5376
"6","ng",13,"26-05-22","6:00:00 PM",NA,43.359,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,1344,1728,2688,2304
"7","ng",13,"26-05-22","7:00:00 PM",NA,39.615,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,464,1152,896,608
"8","ng",13,"26-05-22","8:00:00 PM",NA,34.374,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,4,1,13,12
"9","ng",13,"26-05-22","9:00:00 PM",NA,32.911,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,0,0,0,0
"10","ng",13,"26-05-22","10:00:00 PM",NA,31.37,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,0,0,0,0
"11","ng",13,"26-05-22","11:00:00 PM",NA,28.06,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,0,0,0,0
"12","ng",14,"27-05-22","12:00:00 AM",NA,29.152,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,0,0,0,0
"13","ng",14,"27-05-22","1:00:00 AM",NA,27.272,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,0,0,0,0
