"","researcher","hourdate_HOBO","hour_ELITECH","temp","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","intensity.Larrea tridentata","intensity.square","intensity.triangle","intensity.open","intensity.NA"
"1","ng","04/25/23 02:00:00  PM","",31.574,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,1920,1152,1728,4352,NA
"2","ng","04/25/23 03:00:00  PM","",31.88,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,1536,3712,1920,7168,NA
"3","ng","04/25/23 04:00:00  PM","",31.472,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,1152,3200,1536,7168,NA
"4","ng","04/25/23 05:00:00  PM","",31.37,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,960,2560,1344,6144,NA
"5","ng","04/25/23 06:00:00  PM","",29.853,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,800,1536,1152,4096,NA
"6","ng","04/25/23 07:00:00  PM","",28.655,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,400,480,480,1216,NA
"7","ng","04/25/23 08:00:00  PM","",24.062,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"8","ng","04/25/23 09:00:00  PM","",20.996,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"9","ng","04/25/23 10:00:00  PM","",20.138,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"10","ng","04/25/23 11:00:00  PM","",16.332,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"11","ng","04/26/23 12:00:00  AM","",14.996,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"12","ng","04/26/23 01:00:00  AM","",14.038,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"13","ng","04/26/23 02:00:00  AM","",13.654,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"14","ng","04/26/23 03:00:00  AM","",11.625,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"15","ng","04/26/23 04:00:00  AM","",12.304,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"16","ng","04/26/23 05:00:00  AM","",13.173,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"17","ng","04/26/23 06:00:00  AM","",11.819,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,71,35,64,101,NA
"18","ng","04/26/23 07:00:00  AM","",23.196,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,3072,896,1600,2304,NA
"19","ng","04/26/23 08:00:00  AM","",30.862,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,7168,1024,2432,3456,NA
"20","ng","04/26/23 09:00:00  AM","",34.585,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,11776,1984,3200,2560,NA
"21","ng","04/26/23 10:00:00  AM","",31.472,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,4864,2816,3072,3200,NA
"22","ng","04/26/23 11:00:00  AM","",35.435,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,5120,3456,3456,4096,NA
"23","ng","04/26/23 12:00:00  PM","",33.014,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,2304,3712,1920,4608,NA
"24","ng","04/26/23 01:00:00  PM","",35.115,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,2560,3968,2176,4608,NA
"25","ng","04/26/23 02:00:00  PM","",34.268,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,2048,3968,1728,4096,NA
"26","ng","04/26/23 03:00:00  PM","",34.058,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,1600,3712,1728,7168,NA
"27","ng","04/26/23 04:00:00  PM","",34.479,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,1536,3200,1536,7168,NA
"28","ng","04/26/23 05:00:00  PM","",33.014,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,992,2560,1344,6144,NA
"29","ng","04/26/23 06:00:00  PM","",31.88,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,608,1536,1152,4096,NA
"30","ng","04/26/23 07:00:00  PM","",30.558,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,400,512,512,1344,NA
"31","ng","04/26/23 08:00:00  PM","",21.473,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"32","ng","04/26/23 09:00:00  PM","",20.71,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"33","ng","04/26/23 10:00:00  PM","",18.14,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"34","ng","04/26/23 11:00:00  PM","",18.236,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"35","ng","04/27/23 12:00:00  AM","",17.665,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"36","ng","04/27/23 01:00:00  AM","",16.046,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"37","ng","04/27/23 02:00:00  AM","",14.804,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"38","ng","04/27/23 03:00:00  AM","",11.431,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"39","ng","04/27/23 04:00:00  AM","",11.139,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"40","ng","04/27/23 05:00:00  AM","",12.401,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,0,0,0,0,NA
"41","ng","04/27/23 06:00:00  AM","",11.236,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,71,36,71,104,NA
"42","ng","04/27/23 07:00:00  AM","",20.805,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,3072,864,1536,3584,NA
"43","ng","04/27/23 08:00:00  AM","",30.659,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,6912,1088,2560,3456,NA
"44","ng","04/27/23 09:00:00  AM","",40.185,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,11776,2048,3584,2560,NA
"45","ng","04/27/23 10:00:00  AM","",35.328,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,12800,2816,3328,3072,NA
"46","ng","04/27/23 11:00:00  AM","",39.502,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,4864,3456,3200,4096,NA
"47","ng","04/27/23 12:00:00  PM","",35.649,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,2560,3712,2432,4608,NA
