rii,microsite
-1,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-0.192307692,Ephedra californica
-0.365853659,Ephedra californica
-0.563909774,Ephedra californica
-0.651612903,Ephedra californica
0.368421053,Ephedra californica
-0.833333333,Ephedra californica
-0.84,Ephedra californica
-0.896907216,Ephedra californica
-0.871345029,Ephedra californica
-0.874476987,Ephedra californica
-0.918465228,Ephedra californica
-0.777777778,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
-0.441860465,triangle
-0.365853659,triangle
-0.507246377,triangle
-0.542168675,triangle
0.571428571,triangle
-0.733990148,triangle
-0.657657658,triangle
-0.628318584,triangle
-0.649484536,triangle
-0.659259259,triangle
-0.612903226,triangle
-1,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
0.398058252,square
0.363636364,square
0.133333333,square
0.03030303,square
0.6,square
-0.81443299,square
-0.84,square
-0.87755102,square
-0.865889213,square
-0.828571429,square
-0.777777778,square
