"","rii_calc_shrub","rii_calc_triangle","rii_calc_square"
"1",NA,NA,NA
"2",NA,NA,NA
"3",NA,NA,NA
"4",NA,NA,NA
"5",NA,NA,NA
"6",NA,NA,NA
"7",NA,NA,NA
"8",NA,NA,NA
"9",NA,NA,NA
"10",NA,NA,NA
"11",NA,NA,NA
"12",NA,NA,NA
"13",NA,NA,NA
"14",0.531914893617021,0.0434782608695652,0.463414634146341
"15",0.552238805970149,-0.0909090909090909,0.285714285714286
"16",0.555555555555556,-0.0491803278688525,0.272727272727273
"17",0.210526315789474,-0.333333333333333,0.0625
"18",0.478260869565217,-0.116279069767442,0.172413793103448
"19",0.0731707317073171,-0.288135593220339,-0.027027027027027
"20",-0.205479452054795,-0.530434782608696,-0.0476190476190476
"21",-0.495327102803738,-0.63265306122449,-0.230769230769231
"22",-0.533333333333333,-0.657657657657658,-0.243243243243243
"23",-0.505882352941176,-0.454545454545455,-0.254901960784314
"24",-0.504950495049505,-0.56701030927835,-0.206349206349206
