rii,microsite
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
0.531914894,Larre tridentata
0.552238806,Larre tridentata
0.555555556,Larre tridentata
0.210526316,Larre tridentata
0.47826087,Larre tridentata
0.073170732,Larre tridentata
-0.205479452,Larre tridentata
-0.495327103,Larre tridentata
-0.533333333,Larre tridentata
-0.505882353,Larre tridentata
-0.504950495,Larre tridentata
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
NA,triangle
0.043478261,triangle
-0.090909091,triangle
-0.049180328,triangle
-0.333333333,triangle
-0.11627907,triangle
-0.288135593,triangle
-0.530434783,triangle
-0.632653061,triangle
-0.657657658,triangle
-0.454545455,triangle
-0.567010309,triangle
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
NA,square
0.463414634,square
0.285714286,square
0.272727273,square
0.0625,square
0.172413793,square
-0.027027027,square
-0.047619048,square
-0.230769231,square
-0.243243243,square
-0.254901961,square
-0.206349206,square
