rii,microsite
1.336048494,Ephedra californica
2.427009295,Ephedra californica
9.39635996,Ephedra californica
43.38497653,Ephedra californica
-3.113625421,Ephedra californica
-0.827715356,Ephedra californica
-0.797305573,Ephedra californica
-0.437464757,Ephedra californica
-0.448683753,Ephedra californica
-0.302130553,Ephedra californica
-0.618227159,Ephedra californica
-0.600853283,Ephedra californica
-0.710335889,Ephedra californica
-1.204653264,Ephedra californica
0.310580205,Ephedra californica
0,Ephedra californica
0.065617314,Ephedra californica
0.095072406,Ephedra californica
-0.121347105,Ephedra californica
-0.156075291,Ephedra californica
-0.189049035,Ephedra californica
-0.217765645,Ephedra californica
-0.195338169,Ephedra californica
-0.075241988,Ephedra californica
1.306549162,triangle
2.317183952,triangle
7.397534669,triangle
13.36712329,triangle
-4.540856031,triangle
-1.216590963,triangle
-0.929968765,triangle
-0.538071679,triangle
-0.509424843,triangle
-0.394586722,triangle
-0.683689114,triangle
-0.645310597,triangle
-0.775535374,triangle
-1.004106776,triangle
0.294052728,triangle
0.074547557,triangle
0.005002226,triangle
0.170876852,triangle
-0.078658034,triangle
-0.112170605,triangle
-0.012467532,triangle
-0.102026273,triangle
-0.094542049,triangle
0.029961965,triangle
1.31769341,square
2.317183952,square
7.948953975,square
22.4952381,square
-3.868376068,square
-1.276454702,square
-0.828945319,square
-0.496360648,square
-0.509424843,square
-0.375224417,square
-0.683689114,square
-0.645310597,square
-0.753321523,square
-1.320494532,square
0.471907536,square
0.198614194,square
0.265145068,square
0.151266511,square
-0.083504789,square
-0.114657628,square
-0.116132573,square
-0.138007163,square
-0.082832594,square
0.097168039,square
