rii,microsite
-0.02438713,Larrea tridentata
-0.041893956,Larrea tridentata
-0.003865928,Larrea tridentata
-0.019967565,Larrea tridentata
-0.023802422,Larrea tridentata
0.054549872,Larrea tridentata
0.027301673,Larrea tridentata
0.122191312,Larrea tridentata
0.018460153,Larrea tridentata
0.104916371,Larrea tridentata
-0.029489867,Larrea tridentata
0.044822695,Larrea tridentata
0.327522628,Larrea tridentata
0.088224598,Larrea tridentata
0.055079843,Larrea tridentata
0.140032304,Larrea tridentata
0.102649744,Larrea tridentata
0.115415864,Larrea tridentata
0.094996019,Larrea tridentata
0.016098554,Larrea tridentata
-0.018560073,Larrea tridentata
-0.012284698,Larrea tridentata
-0.003921093,Larrea tridentata
-0.002298851,Larrea tridentata
0.014645829,triangle
0.032323437,triangle
0.033275763,triangle
0.063645669,triangle
0.064690174,triangle
0.060201679,triangle
0.065295228,triangle
0.15019681,triangle
0.085647177,triangle
0.123138034,triangle
0.113171202,triangle
0.122948685,triangle
0.39322444,triangle
-0.079294016,triangle
-0.110718172,triangle
-0.07274781,triangle
-0.075328407,triangle
-0.075436252,triangle
-0.027663311,triangle
-0.02589849,triangle
-0.03383582,triangle
-0.016439703,triangle
-0.0198341,triangle
-0.002298851,triangle
-0.027502962,squre
-0.049258378,squre
0,squre
-0.025058572,squre
-0.005860978,squre
0.048829677,squre
0.033846982,squre
0.131759975,squre
0.053326385,squre
0.114076452,squre
0,squre
0.058839972,squre
0.372732958,squre
0.060762718,squre
-0.065466288,squre
0.005377866,squre
-0.036481621,squre
-0.042250877,squre
-0.029435329,squre
-0.018393139,squre
-0.022351167,squre
-0.010219909,squre
-0.017807012,squre
0,squre
