rii,microsite
0.001469056,Ephedra californica
0.014606162,Ephedra californica
0.038274295,Ephedra californica
0.012482372,Ephedra californica
-0.090775089,Ephedra californica
0.069530994,Ephedra californica
-0.184009073,Ephedra californica
0.262012693,Ephedra californica
0.178542179,Ephedra californica
0.172995781,Ephedra californica
-0.089271089,Ephedra californica
0.118093174,Ephedra californica
0.065217391,Ephedra californica
-0.784697509,Ephedra californica
-0.196183661,Ephedra californica
0,Ephedra californica
-0.108629442,Ephedra californica
-0.353051831,Ephedra californica
-0.269995026,Ephedra californica
-0.071349399,Ephedra californica
-0.017516543,Ephedra californica
0.023015295,Ephedra californica
0.029207306,Ephedra californica
0.001408675,Ephedra californica
0,Ephedra californica
-0.016645558,Ephedra californica
-0.02533482,Ephedra californica
0.007369882,Ephedra californica
-0.053364377,Ephedra californica
0.061795525,Ephedra californica
0.035930274,Ephedra californica
0.007624368,Ephedra californica
-0.048743518,Ephedra californica
0.048635376,Ephedra californica
0.029175715,Ephedra californica
0.010880937,Ephedra californica
0.046027882,Ephedra californica
0.075973211,Ephedra californica
0.023556059,Ephedra californica
0.064575874,Ephedra californica
-0.113806864,Ephedra californica
-0.266096018,Ephedra californica
-0.29388973,Ephedra californica
-0.065521243,Ephedra californica
-0.05076509,Ephedra californica
0.01032039,Ephedra californica
0.01277424,Ephedra californica
-0.008360411,Ephedra californica
-0.022053479,Ephedra californica
-0.030253894,Ephedra californica
-0.002790655,Ephedra californica
0.005850441,Ephedra californica
-0.0490002,Ephedra californica
0.058245743,Ephedra californica
-0.005670428,Ephedra californica
-0.019399897,Ephedra californica
-0.019982739,Ephedra californica
0.02944812,Ephedra californica
-0.02597073,Ephedra californica
-0.030416542,Ephedra californica
-0.047610226,Ephedra californica
0.107799049,Ephedra californica
0.048370259,Ephedra californica
-0.041010285,Ephedra californica
-0.044865054,Ephedra californica
-0.227105366,Ephedra californica
-0.273590389,Ephedra californica
-0.084175896,Ephedra californica
-0.061565684,Ephedra californica
-0.010286633,Ephedra californica
-0.009921607,Ephedra californica
-0.018022494,Ephedra californica
-0.026132479,Ephedra californica
-0.019269973,Ephedra californica
0,Ephedra californica
0.014684641,Ephedra californica
-0.032614378,Ephedra californica
0.021169091,Ephedra californica
-0.039057841,Ephedra californica
-0.006073858,Ephedra californica
0.158476799,Ephedra californica
-0.015443134,Ephedra californica
-0.05239802,Ephedra californica
0,Ephedra californica
-0.094348171,Ephedra californica
-0.11090573,Ephedra californica
-0.199441766,Ephedra californica
-0.122948182,Ephedra californica
-0.134724858,Ephedra californica
-0.241697546,Ephedra californica
-0.24305984,Ephedra californica
-0.073856491,Ephedra californica
-0.065251645,Ephedra californica
0,Ephedra californica
0.011287988,Ephedra californica
-0.001381799,Ephedra californica
-0.005511794,Ephedra californica
-0.022008709,Ephedra californica
-0.022270255,Ephedra californica
-0.004444566,Ephedra californica
-0.050195165,Ephedra californica
0.121460374,Ephedra californica
0.18122719,Ephedra californica
0.058390579,Ephedra californica
-0.036251105,Ephedra californica
0.020134228,Ephedra californica
-0.034922767,Ephedra californica
-0.064575874,Ephedra californica
-0.091884409,Ephedra californica
-0.068336163,Ephedra californica
-0.119412942,Ephedra californica
-0.222429907,Ephedra californica
-0.179909071,Ephedra californica
-0.306209188,Ephedra californica
-0.321239041,Ephedra californica
-0.069881655,Ephedra californica
-0.052415939,Ephedra californica
0.001465172,Ephedra californica
-0.016860631,Ephedra californica
-0.023429586,Ephedra californica
0.006906884,Ephedra californica
-0.031640567,Ephedra californica
-0.049195194,Ephedra californica
-0.002955027,Ephedra californica
-0.035798999,Ephedra californica
0.053838305,Ephedra californica
0.099773884,Ephedra californica
0.039382092,Ephedra californica
-0.020134228,Ephedra californica
-0.048370259,Ephedra californica
-0.147252133,Ephedra californica
-0.114219747,Ephedra californica
-0.057162254,Ephedra californica
-0.182302925,Ephedra californica
-0.243802331,Ephedra californica
-0.211203431,Ephedra californica
-0.158592471,Ephedra californica
-0.333486389,Ephedra californica
-0.294134745,Ephedra californica
-0.065846042,Ephedra californica
-0.031244843,Ephedra californica
0.004215591,Ephedra californica
0.013840715,Ephedra californica
0.008238853,Ephedra californica
0,Ephedra californica
-0.010979635,Ephedra californica
-0.023409642,Ephedra californica
-0.009996251,Ephedra californica
-0.042156185,Ephedra californica
0.003590066,Ephedra californica
0.01928944,Ephedra californica
0,Ephedra californica
-0.036102391,Ephedra californica
-0.08185391,Ephedra californica
-0.057011657,Ephedra californica
-0.025444869,Ephedra californica
-0.051413235,Ephedra californica
-0.099213109,Ephedra californica
0.024135475,Ephedra californica
-0.055378145,Ephedra californica
-0.115956392,Ephedra californica
-0.32353968,Ephedra californica
-0.203965539,Ephedra californica
-0.054811241,Ephedra californica
-0.044033901,Ephedra californica
0.008347818,Ephedra californica
0.01100077,Ephedra californica
0.008244481,Ephedra californica
-0.010996335,Ephedra californica
-0.026126556,Ephedra californica
-0.028815931,Ephedra californica
0,Ephedra californica
-0.037357721,Ephedra californica
0.020657008,Ephedra californica
-0.019944895,Ephedra californica
-0.050240688,Ephedra californica
-0.04033992,Ephedra californica
-0.047123753,Ephedra californica
-0.040853408,Ephedra californica
-0.11889698,Ephedra californica
-0.075178549,Ephedra californica
-0.074427995,Ephedra californica
-0.098306974,Ephedra californica
-0.051868132,Ephedra californica
-0.123079896,Ephedra californica
