rii,microsite
0.285714,Ephedra californica
0.307692308,Ephedra californica
0.411764706,Ephedra californica
0.463414634,Ephedra californica
0.3125,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-0.277777778,Ephedra californica
-0.700483092,Ephedra californica
-0.5,Ephedra californica
-0.347368421,Ephedra californica
-0.028571429,Ephedra californica
0.2,Ephedra californica
0.254901961,Ephedra californica
0.309090909,Ephedra californica
0.333333333,Ephedra californica
0.357142857,Ephedra californica
0.387755102,Ephedra californica
0.46835443,Ephedra californica
0.2,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-0.058823529,Ephedra californica
-0.660377358,Ephedra californica
-0.411764706,Ephedra californica
-0.283018868,Ephedra californica
-0.028571429,Ephedra californica
0.155555556,Ephedra californica
0.230769231,Ephedra californica
0.259259259,Ephedra californica
0.183673469,Ephedra californica
0.309090909,Ephedra californica
0.36,Ephedra californica
0.459459459,Ephedra californica
0.161290323,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-0.289552239,Ephedra californica
-0.580246914,Ephedra californica
-0.481481481,Ephedra californica
-0.36,Ephedra californica
-0.028571429,Ephedra californica
0.136363636,Ephedra californica
0.183673469,Ephedra californica
0.20754717,Ephedra californica
0.236363636,Ephedra californica
0.155555556,Ephedra californica
0.319148936,Ephedra californica
0.263157895,Ephedra californica
0.176470588,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-0.255813953,Ephedra californica
-0.634408602,Ephedra californica
-0.505882353,Ephedra californica
-0.307692308,Ephedra californica
-0.058823529,Ephedra californica
0.136363636,Ephedra californica
0.2,Ephedra californica
0.230769231,Ephedra californica
0.236363636,Ephedra californica
0.166666667,Ephedra californica
0.276595745,Ephedra californica
0.20754717,Ephedra californica
0.189189189,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-0.333333333,Ephedra californica
-0.616161616,Ephedra californica
-0.505882353,Ephedra californica
-0.283018868,Ephedra californica
-0.2,Ephedra californica
0.162790698,Ephedra californica
0.215686275,Ephedra californica
0.20754717,Ephedra californica
0.306122449,Ephedra californica
0.309090909,Ephedra californica
0.166666667,Ephedra californica
0.224489796,Ephedra californica
0.142857143,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-1,Ephedra californica
-0.291666667,Ephedra californica
-0.649484536,Ephedra californica
-0.454545455,Ephedra californica
-0.384615385,Ephedra californica
-0.142857143,Ephedra californica
0.162790698,Ephedra californica
0.224489796,Ephedra californica
0.259259259,Ephedra californica
0.285714286,Ephedra californica
0.283018868,Ephedra californica
0.238095238,Ephedra californica
0.288135593,Ephedra californica
0.157894737,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-1,Ephedra californica
-0.296089385,Ephedra californica
-0.617977528,Ephedra californica
-0.518987342,Ephedra californica
-0.230769231,Ephedra californica
-0.152542373,Ephedra californica
0.155555556,Ephedra californica
0.25,Ephedra californica
0.130434783,Ephedra californica
0,Ephedra californica
-0.027027027,Ephedra californica
0.304347826,Ephedra californica
0.470588235,Ephedra californica
0.105263158,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-1,Ephedra californica
-0.333333333,Ephedra californica
-0.649484536,Ephedra californica
-0.526315789,Ephedra californica
-0.236363636,Ephedra californica
-0.096774194,Ephedra californica
0.181818182,Ephedra californica
0.24,Ephedra californica
0.155555556,Ephedra californica
0,Ephedra californica
0.208333333,Ephedra californica
0.319148936,Ephedra californica
0.391304348,Ephedra californica
0.1875,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-0.142857143,Ephedra californica
-0.37704918,Ephedra californica
-0.644859813,Ephedra californica
-0.505882353,Ephedra californica
-0.2,Ephedra californica
-0.046153846,Ephedra californica
0.162790698,Ephedra californica
0.255813953,Ephedra californica
0.217391304,Ephedra californica
0.283018868,Ephedra californica
0.333333333,Ephedra californica
0.333333333,Ephedra californica
0.461538462,Ephedra californica
0.333333333,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
-0.2,Ephedra californica
-0.35483871,Ephedra californica
-0.617977528,Ephedra californica
-0.542168675,Ephedra californica
-0.333333333,Ephedra californica
-0.028571429,Ephedra californica
0.2,Ephedra californica
0.307692308,Ephedra californica
0.24,Ephedra californica
0,Ephedra californica
0.733333333,Ephedra californica
0.5,Ephedra californica
0.711627907,Ephedra californica
-0.163636364,Ephedra californica
0,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
NA,Ephedra californica
0.333333333,Ephedra californica
0.153846154,Ephedra californica
0.257142857,Ephedra californica
0.136363636,Ephedra californica
0.107692308,Ephedra californica
-0.085714286,Ephedra californica
0.538461538,Ephedra californica
0.307692308,Ephedra californica
0.333333333,Ephedra californica
0.355932203,Ephedra californica
0.16,Ephedra californica
0.270588235,Ephedra californica
