rii,microsite
-0.387755102,Larre tridentata
-0.647058824,Larre tridentata
-0.723076923,Larre tridentata
-0.72972973,Larre tridentata
-0.673202614,Larre tridentata
-0.504950495,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.174418605,Larre tridentata
0.142857143,Larre tridentata
0.34939759,Larre tridentata
0.642857143,Larre tridentata
0.206349206,Larre tridentata
0.111111111,Larre tridentata
-0.333333333,Larre tridentata
-0.285714286,Larre tridentata
-0.333333333,Larre tridentata
-0.635036496,Larre tridentata
-0.647058824,Larre tridentata
-0.721973094,Larre tridentata
-0.741496599,Larre tridentata
-0.541284404,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.188571429,Larre tridentata
-0.076923077,Larre tridentata
0.333333333,Larre tridentata
0.642857143,Larre tridentata
0.612903226,Larre tridentata
0.085714286,Larre tridentata
-0.285714286,Larre tridentata
-0.180327869,Larre tridentata
-0.283018868,Larre tridentata
-0.6,Larre tridentata
-0.244444444,Larre tridentata
-0.721973094,Larre tridentata
-0.70212766,Larre tridentata
-0.56097561,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.189655172,Larre tridentata
-0.220338983,Larre tridentata
0.365853659,Larre tridentata
0.657657658,Larre tridentata
0.636363636,Larre tridentata
0.215189873,Larre tridentata
-0.309090909,Larre tridentata
-0.263157895,Larre tridentata
0.1,Larre tridentata
-0.647058824,Larre tridentata
0.151515152,Larre tridentata
-0.735849057,Larre tridentata
-0.710344828,Larre tridentata
-0.555555556,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.158371041,Larre tridentata
0.179487179,Larre tridentata
0.35,Larre tridentata
0.657657658,Larre tridentata
0.661538462,Larre tridentata
0,Larre tridentata
-0.333333333,Larre tridentata
-0.090909091,Larre tridentata
-0.285714286,Larre tridentata
-0.623188406,Larre tridentata
-0.037037037,Larre tridentata
-0.719626168,Larre tridentata
-0.706666667,Larre tridentata
-0.548387097,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.185185185,Larre tridentata
0.170731707,Larre tridentata
0.384615385,Larre tridentata
0.644859813,Larre tridentata
0.62601626,Larre tridentata
0.4375,Larre tridentata
-0.176470588,Larre tridentata
0.613445378,Larre tridentata
0.494505495,Larre tridentata
-0.622377622,Larre tridentata
-0.102040816,Larre tridentata
-0.700483092,Larre tridentata
-0.718518519,Larre tridentata
-0.4375,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.16097561,Larre tridentata
0,Larre tridentata
0.367088608,Larre tridentata
0.631067961,Larre tridentata
-0.180327869,Larre tridentata
-0.408450704,Larre tridentata
-0.1875,Larre tridentata
0.333333333,Larre tridentata
-0.28,Larre tridentata
-0.371428571,Larre tridentata
-0.402061856,Larre tridentata
-0.703703704,Larre tridentata
-0.684210526,Larre tridentata
-0.538461538,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.162629758,Larre tridentata
0.179487179,Larre tridentata
0.368421053,Larre tridentata
0.692307692,Larre tridentata
0.419354839,Larre tridentata
-0.01754386,Larre tridentata
-0.36,Larre tridentata
0.272727273,Larre tridentata
0.194805195,Larre tridentata
-0.31147541,Larre tridentata
-0.409090909,Larre tridentata
-0.555555556,Larre tridentata
-0.371428571,Larre tridentata
-0.553398058,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.179487179,Larre tridentata
0.194805195,Larre tridentata
0.368421053,Larre tridentata
0.479452055,Larre tridentata
0,Larre tridentata
-0.210526316,Larre tridentata
-0.255813953,Larre tridentata
0.467889908,Larre tridentata
0.054545455,Larre tridentata
-0.633802817,Larre tridentata
-0.565217391,Larre tridentata
-0.6,Larre tridentata
-0.689440994,Larre tridentata
-0.531914894,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.036437247,Larre tridentata
0.371428571,Larre tridentata
0.384615385,Larre tridentata
0.692307692,Larre tridentata
-0.176470588,Larre tridentata
-0.03030303,Larre tridentata
-0.045454545,Larre tridentata
0.631067961,Larre tridentata
-0.105263158,Larre tridentata
-0.6,Larre tridentata
0.3,Larre tridentata
-0.111111111,Larre tridentata
-0.628742515,Larre tridentata
-0.285714286,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.175572519,Larre tridentata
0.090909091,Larre tridentata
0.384615385,Larre tridentata
0.700483092,Larre tridentata
-0.142857143,Larre tridentata
-0.367088608,Larre tridentata
0.294117647,Larre tridentata
0.304347826,Larre tridentata
-0.379310345,Larre tridentata
-0.631578947,Larre tridentata
-0.56097561,Larre tridentata
-0.408450704,Larre tridentata
-0.673202614,Larre tridentata
-0.546218487,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.081081081,Larre tridentata
0.179487179,Larre tridentata
0.24,Larre tridentata
0.644859813,Larre tridentata
0.209302326,Larre tridentata
-0.183673469,Larre tridentata
-0.304347826,Larre tridentata
0.358490566,Larre tridentata
-0.135135135,Larre tridentata
-0.487179487,Larre tridentata
-0.133333333,Larre tridentata
-0.272727273,Larre tridentata
-0.214285714,Larre tridentata
-0.085714286,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.170731707,Larre tridentata
-0.294117647,Larre tridentata
0.540740741,Larre tridentata
0.37704918,Larre tridentata
0.122807018,Larre tridentata
-0.382716049,Larre tridentata
-0.224489796,Larre tridentata
-0.333333333,Larre tridentata
0.052631579,Larre tridentata
-0.611940299,Larre tridentata
0.277777778,Larre tridentata
-0.714285714,Larre tridentata
-0.726618705,Larre tridentata
-0.559322034,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.20754717,Larre tridentata
-0.275362319,Larre tridentata
0.553956835,Larre tridentata
0.35483871,Larre tridentata
-0.219512195,Larre tridentata
-0.414634146,Larre tridentata
-0.266666667,Larre tridentata
-0.245901639,Larre tridentata
0.617977528,Larre tridentata
-0.563909774,Larre tridentata
-0.056603774,Larre tridentata
-0.711627907,Larre tridentata
-0.706666667,Larre tridentata
-0.6,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.142857143,Larre tridentata
0,Larre tridentata
0.421052632,Larre tridentata
0.6,Larre tridentata
0.302325581,Larre tridentata
-0.125,Larre tridentata
0.025641026,Larre tridentata
0.632653061,Larre tridentata
-0.084745763,Larre tridentata
-0.476923077,Larre tridentata
-0.215189873,Larre tridentata
-0.260869565,Larre tridentata
-0.255813953,Larre tridentata
-0.074626866,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.115384615,Larre tridentata
0.023255814,Larre tridentata
0.449275362,Larre tridentata
0.615384615,Larre tridentata
0.577464789,Larre tridentata
0.052631579,Larre tridentata
-0.225806452,Larre tridentata
-0.180327869,Larre tridentata
0.111111111,Larre tridentata
-0.58778626,Larre tridentata
0.018181818,Larre tridentata
-0.719626168,Larre tridentata
-0.718120805,Larre tridentata
-0.62406015,Larre tridentata
-0.5,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.192982456,Larre tridentata
-0.020408163,Larre tridentata
0.464788732,Larre tridentata
0.615384615,Larre tridentata
0.622377622,Larre tridentata
-0.142857143,Larre tridentata
-0.263157895,Larre tridentata
-0.142857143,Larre tridentata
-0.066666667,Larre tridentata
-0.58778626,Larre tridentata
-0.08,Larre tridentata
-0.719626168,Larre tridentata
-0.732484076,Larre tridentata
-0.633802817,Larre tridentata
-0.5,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.161290323,Larre tridentata
-0.019607843,Larre tridentata
0.479452055,Larre tridentata
0.615384615,Larre tridentata
0.636363636,Larre tridentata
0.173333333,Larre tridentata
0.076923077,Larre tridentata
0.027027027,Larre tridentata
-0.20754717,Larre tridentata
-0.6,Larre tridentata
-0.674418605,Larre tridentata
-0.688073394,Larre tridentata
-0.706666667,Larre tridentata
-0.58778626,Larre tridentata
-0.333333333,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.027027027,Larre tridentata
0.086956522,Larre tridentata
0.44,Larre tridentata
0.615384615,Larre tridentata
-0.102040816,Larre tridentata
-0.015873016,Larre tridentata
0,Larre tridentata
0.582417582,Larre tridentata
-0.384615385,Larre tridentata
-0.611510791,Larre tridentata
-0.34939759,Larre tridentata
-0.714285714,Larre tridentata
-0.721518987,Larre tridentata
-0.589041096,Larre tridentata
-0.428571429,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
-0.102040816,Larre tridentata
0.066666667,Larre tridentata
0.464788732,Larre tridentata
0.616161616,Larre tridentata
0.47826087,Larre tridentata
-0.185185185,Larre tridentata
-0.2,Larre tridentata
0.530864198,Larre tridentata
-0.259259259,Larre tridentata
-0.565217391,Larre tridentata
-0.31147541,Larre tridentata
-0.433962264,Larre tridentata
-0.704142012,Larre tridentata
-0.4,Larre tridentata
-0.5,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
NA,Larre tridentata
