rii,microsite
-0.092961793,Larrea tridentata
-0.208608984,Larrea tridentata
-0.201623541,Larrea tridentata
-0.19393589,Larrea tridentata
-0.157230574,Larrea tridentata
-0.054883077,Larrea tridentata
0.001998834,Larrea tridentata
0.016140351,Larrea tridentata
0.01438106,Larrea tridentata
0.017823757,Larrea tridentata
-0.012576546,Larrea tridentata
0.024559355,Larrea tridentata
0.048090578,Larrea tridentata
-0.020433958,Larrea tridentata
0.028375611,Larrea tridentata
0.018675328,Larrea tridentata
-0.027882875,Larrea tridentata
0.148743345,Larrea tridentata
0.131740589,Larrea tridentata
0.127171398,Larrea tridentata
0.016389737,Larrea tridentata
0.022906052,Larrea tridentata
-0.062075627,Larrea tridentata
-0.072993664,Larrea tridentata
-0.083718816,Larrea tridentata
-0.220382049,Larrea tridentata
-0.206613282,Larrea tridentata
-0.211587142,Larrea tridentata
-0.172818204,Larrea tridentata
-0.084335905,Larrea tridentata
-0.023910178,Larrea tridentata
-0.031247076,Larrea tridentata
-0.025569403,Larrea tridentata
0.002639103,Larrea tridentata
0.056993269,Larrea tridentata
0.021257637,Larrea tridentata
0.033438045,Larrea tridentata
0.004260927,Larrea tridentata
0.022395594,Larrea tridentata
0.003926331,Larrea tridentata
0.031346092,Larrea tridentata
0.126238294,Larrea tridentata
0.152940734,Larrea tridentata
0.186238045,Larrea tridentata
0.046507495,Larrea tridentata
0.031963112,Larrea tridentata
-0.071120549,Larrea tridentata
-0.071228044,Larrea tridentata
-0.065027814,Larrea tridentata
-0.221501117,Larrea tridentata
-0.194388475,Larrea tridentata
-0.189724811,Larrea tridentata
-0.148831878,Larrea tridentata
-0.070469284,Larrea tridentata
0,Larrea tridentata
0.008230541,Larrea tridentata
-0.010746898,Larrea tridentata
-0.006826427,Larrea tridentata
0.018894158,Larrea tridentata
0.017718853,Larrea tridentata
0.021085589,Larrea tridentata
-0.021002327,Larrea tridentata
0.026499475,Larrea tridentata
0.019017958,Larrea tridentata
-0.035912827,Larrea tridentata
0.106182796,Larrea tridentata
0.113505462,Larrea tridentata
0.163844849,Larrea tridentata
0.060481693,Larrea tridentata
0.039855162,Larrea tridentata
-0.033781678,Larrea tridentata
-0.053308693,Larrea tridentata
-0.026563177,Larrea tridentata
-0.205331389,Larrea tridentata
-0.182590321,Larrea tridentata
-0.224749401,Larrea tridentata
-0.167299028,Larrea tridentata
-0.1073451,Larrea tridentata
-0.016335819,Larrea tridentata
-0.013219964,Larrea tridentata
-0.006169666,Larrea tridentata
-0.011959799,Larrea tridentata
-0.019258509,Larrea tridentata
0.034444551,Larrea tridentata
0.021085589,Larrea tridentata
0,Larrea tridentata
0.015655256,Larrea tridentata
0.003295572,Larrea tridentata
0,Larrea tridentata
0.124281136,Larrea tridentata
0.162089336,Larrea tridentata
0.152716987,Larrea tridentata
0.063886339,Larrea tridentata
0.007127015,Larrea tridentata
-0.053578959,Larrea tridentata
-0.026318744,Larrea tridentata
-0.012438665,Larrea tridentata
-0.190797715,Larrea tridentata
-0.164692134,Larrea tridentata
-0.180373732,Larrea tridentata
-0.193910185,Larrea tridentata
-0.057203475,Larrea tridentata
-0.018941687,Larrea tridentata
-0.06090216,Larrea tridentata
-0.049299449,Larrea tridentata
-0.009332211,Larrea tridentata
-0.001926629,Larrea tridentata
-0.007731186,Larrea tridentata
0.008855302,Larrea tridentata
-0.066781044,Larrea tridentata
0.025674253,Larrea tridentata
0.021656849,Larrea tridentata
0.024559591,Larrea tridentata
0.086903613,Larrea tridentata
0.131160276,Larrea tridentata
0.160485078,Larrea tridentata
0.067238685,Larrea tridentata
0.02660639,Larrea tridentata
-0.008535768,Larrea tridentata
-0.002766718,Larrea tridentata
-0.026256049,Larrea tridentata
-0.159454741,Larrea tridentata
-0.173017986,Larrea tridentata
-0.167109973,Larrea tridentata
-0.128085111,Larrea tridentata
-0.010882025,Larrea tridentata
0.011816988,Larrea tridentata
0.014126314,Larrea tridentata
0.018560073,Larrea tridentata
0.021234174,Larrea tridentata
0.022387744,Larrea tridentata
0.002099738,Larrea tridentata
0.020046207,Larrea tridentata
-0.002331117,Larrea tridentata
0.021820036,Larrea tridentata
0.023329824,Larrea tridentata
0,Larrea tridentata
0.076638553,Larrea tridentata
0.103457824,Larrea tridentata
0.100280312,Larrea tridentata
0.009722928,Larrea tridentata
-0.037069752,Larrea tridentata
-0.049561213,Larrea tridentata
-0.025540495,Larrea tridentata
-0.087383661,Larrea tridentata
-0.115088575,Larrea tridentata
-0.103452943,Larrea tridentata
-0.165047748,Larrea tridentata
-0.132851566,Larrea tridentata
-0.040985921,Larrea tridentata
0.021029127,Larrea tridentata
0.025674253,Larrea tridentata
0.024997812,Larrea tridentata
0.029552072,Larrea tridentata
0.039979382,Larrea tridentata
0.029364619,Larrea tridentata
0.0397627,Larrea tridentata
0.040384029,Larrea tridentata
0.058015528,Larrea tridentata
0.059950002,Larrea tridentata
0.079494497,Larrea tridentata
0.154973664,Larrea tridentata
0.146707683,Larrea tridentata
0.189756147,Larrea tridentata
0.063510304,Larrea tridentata
-0.009131569,Larrea tridentata
-0.098746997,Larrea tridentata
-0.076526295,Larrea tridentata
-0.085166418,Larrea tridentata
-0.126017175,Larrea tridentata
-0.112443044,Larrea tridentata
-0.142199964,Larrea tridentata
-0.028989553,Larrea tridentata
-0.059047763,Larrea tridentata
0.016249751,Larrea tridentata
0.026659199,Larrea tridentata
0.044429255,Larrea tridentata
0.058960408,Larrea tridentata
0.050035288,Larrea tridentata
0.073876618,Larrea tridentata
0.071333912,Larrea tridentata
0.057372654,Larrea tridentata
0.056982301,Larrea tridentata
0.03936116,Larrea tridentata
0.010620519,Larrea tridentata
0.170876852,Larrea tridentata
0.197424605,Larrea tridentata
0.148470275,Larrea tridentata
0.011230769,Larrea tridentata
-0.0143255,Larrea tridentata
-0.076400408,Larrea tridentata
-0.074230075,Larrea tridentata
-0.114996964,Larrea tridentata
-0.230777726,Larrea tridentata
-0.210857757,Larrea tridentata
-0.127774064,Larrea tridentata
-0.187692595,Larrea tridentata
-0.055685469,Larrea tridentata
0.018654524,Larrea tridentata
0.018119491,Larrea tridentata
0.050375346,Larrea tridentata
0.041613702,Larrea tridentata
0.043932022,Larrea tridentata
0.038269189,Larrea tridentata
0.036592773,Larrea tridentata
0.062916599,Larrea tridentata
0.047870201,Larrea tridentata
0.029606584,Larrea tridentata
0.03623569,Larrea tridentata
0.030690436,Larrea tridentata
0.22416734,Larrea tridentata
0.234791194,Larrea tridentata
0.033097638,Larrea tridentata
-0.018530023,Larrea tridentata
-0.026332721,Larrea tridentata
-0.082851869,Larrea tridentata
-0.076904785,Larrea tridentata
-0.287563218,Larrea tridentata
-0.068749249,Larrea tridentata
-0.048109258,Larrea tridentata
-0.18964921,Larrea tridentata
-0.02223671,Larrea tridentata
0.016047297,Larrea tridentata
0.020243406,Larrea tridentata
0.021684872,Larrea tridentata
0.026770444,Larrea tridentata
0.0275078,Larrea tridentata
0.024388476,Larrea tridentata
0.039478099,Larrea tridentata
0.035258875,Larrea tridentata
0.020773547,Larrea tridentata
0.013818799,Larrea tridentata
0.029371113,Larrea tridentata
0.172581602,Larrea tridentata
0.144017433,Larrea tridentata
0.170834563,Larrea tridentata
0.021462864,Larrea tridentata
-0.055133731,Larrea tridentata
-0.102271432,Larrea tridentata
-0.109346035,Larrea tridentata
-0.10011117,Larrea tridentata
-0.245322417,Larrea tridentata
-0.223404836,Larrea tridentata
-0.204089683,Larrea tridentata
-0.167051684,Larrea tridentata
-0.057990482,Larrea tridentata
0.017142857,Larrea tridentata
0.018119491,Larrea tridentata
0.022796625,Larrea tridentata
0.033619365,Larrea tridentata
0.031674508,Larrea tridentata
0.02604025,Larrea tridentata
0.024183101,Larrea tridentata
0.024559355,Larrea tridentata
0.032282114,Larrea tridentata
0.026334242,Larrea tridentata
0.021780089,Larrea tridentata
0.094167273,Larrea tridentata
0.046972887,Larrea tridentata
0.151906732,Larrea tridentata
0.007691698,Larrea tridentata
-0.068096697,Larrea tridentata
-0.096338372,Larrea tridentata
-0.077659692,Larrea tridentata
-0.112221996,Larrea tridentata
-0.207437598,Larrea tridentata
-0.098669957,Larrea tridentata
-0.055328617,Larrea tridentata
-0.015363267,Larrea tridentata
0.008701198,Larrea tridentata
0.011625635,Larrea tridentata
0.017059426,Larrea tridentata
0.015180921,Larrea tridentata
0.026659199,Larrea tridentata
0.033971918,Larrea tridentata
0.038044646,Larrea tridentata
0.033619365,Larrea tridentata
0.035191008,Larrea tridentata
0.026558491,Larrea tridentata
0.018498618,Larrea tridentata
0.100476882,Larrea tridentata
0.172881827,Larrea tridentata
0.172732244,Larrea tridentata
0.171095125,Larrea tridentata
0.023765872,Larrea tridentata
-0.034527518,Larrea tridentata
-0.107517648,Larrea tridentata
-0.124302599,Larrea tridentata
-0.1225932,Larrea tridentata
-0.239357608,Larrea tridentata
-0.143732937,Larrea tridentata
-0.246149192,Larrea tridentata
-0.181153016,Larrea tridentata
-0.078183467,Larrea tridentata
0.026754921,Larrea tridentata
0.021019178,Larrea tridentata
0.02524328,Larrea tridentata
0.036225266,Larrea tridentata
0.054926325,Larrea tridentata
0.020757753,Larrea tridentata
0.029397726,Larrea tridentata
