"researcher","date","hour_HOBO","hour_OMEGA","intensity","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","temp.triangle","temp.square","temp.Ephedra californica","temp.open","temp.square ","temp.open ","temp.tirangle"
"ng","2022-05-14","1:00:00 PM","",184,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,50.595,47.368,12.207,48.821,52.582,62.646,12.594
"ng","2022-05-15","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,24.931,27.567,13.942,23.869,23.677,27.272,15.091
"ng","2022-05-16","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,27.272,28.357,15.855,25.61,25.902,28.754,16.141
"ng","2022-05-17","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,22.525,21.664,12.98,12.69,13.269,12.98,14.038
"ng","2022-05-18","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,15.473,15.951,15.664,13.269,13.654,13.558,14.23
"ng","2022-05-19","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,16.713,16.808,15.951,16.808,17.284,16.808,17.855
"ng","2022-05-20","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,20.996,20.329,19.187,16.332,16.808,16.713,17.475
"ng","2022-05-21","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,10.357,10.651,9.176,9.373,10.357,9.768,10.944
"ng","2022-05-22","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,10.944,11.334,10.846,9.866,10.161,10.357,11.334
"ng","2022-05-23","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,15.855,16.237,15.951,14.134,14.421,14.421,15.378
"ng","2022-05-24","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,17.475,16.903,15.951,15.951,16.332,16.141,17.189
"ng","2022-05-25","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,20.043,20.519,20.234,18.14,18.426,18.521,19.282
"ng","2022-05-26","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,18.045,18.521,18.045,16.618,17.475,16.808,18.045
"ng","2022-05-27","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,14.9,14.613,13.654,13.365,14.23,13.076,14.709
"ng","2022-05-28","12:00:00 AM","",0,NA,10641596,35.11881,-119.6291,"Carrizo","Carrizo_4","HOBO",8,14.325,14.421,12.787,13.558,14.421,13.75,14.709
