"researcher","hourdate_HOBO","hour_ELITECH","intensity","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","temp.Ephedra californica","temp.triangle","temp.square","temp.open"
"ng","04/20/23 03:00:00  PM","",4608,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,37.494,24.448,24.545,37.384
"ng","04/20/23 04:00:00  PM","",4352,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,38.379,23.966,23.677,37.274
"ng","04/20/23 05:00:00  PM","",4608,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,38.602,23.773,24.351,35.756
"ng","04/20/23 06:00:00  PM","",3840,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,33.743,22.142,23.581,32.911
"ng","04/20/23 07:00:00  PM","",336,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,14.804,18.711,15.664,17.76
"ng","04/20/23 08:00:00  PM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,3.261,8.082,7.079,2.837
"ng","04/20/23 09:00:00  PM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1.439,6.978,6.573,2.088
"ng","04/20/23 10:00:00  PM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2.088,7.582,7.782,1.221
"ng","04/20/23 11:00:00  PM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1.439,5.347,5.244,1.003
"ng","04/21/23 12:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1.112,6.166,5.45,0.784
"ng","04/21/23 01:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1.112,5.757,6.064,1.33
"ng","04/21/23 02:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1.548,5.86,5.757,1.221
"ng","04/21/23 03:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,1.764,5.655,5.552,1.548
"ng","04/21/23 04:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0.121,3.049,2.624,1.003
"ng","04/21/23 05:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0.674,3.998,4.415,1.003
"ng","04/21/23 06:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,0.343,3.788,3.578,0.343
"ng","04/21/23 07:00:00  AM","",104,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,2.195,9.077,9.669,2.73
"ng","04/21/23 08:00:00  AM","",248,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,8.082,19.472,29.953,16.903
"ng","04/21/23 09:00:00  AM","",576,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,13.942,22.908,31.064,24.255
"ng","04/21/23 10:00:00  AM","",992,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,22.621,25.708,33.743,26.097
"ng","04/21/23 11:00:00  AM","",2176,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,27.764,27.075,31.268,28.754
"ng","04/21/23 12:00:00  PM","",3456,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,35.115,28.357,29.953,33.535
"ng","04/21/23 01:00:00  PM","",4096,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,38.938,28.06,29.853,36.728
"ng","04/21/23 02:00:00  PM","",4608,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,40.876,27.272,29.452,40.761
"ng","04/21/23 03:00:00  PM","",4864,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,42.52,27.272,26.879,42.52
"ng","04/21/23 04:00:00  PM","",4864,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,43.48,27.764,27.665,44.952
"ng","04/21/23 05:00:00  PM","",4352,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,40.645,28.655,29.552,42.758
"ng","04/21/23 06:00:00  PM","",3712,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,37.384,26.683,27.764,36.837
"ng","04/21/23 07:00:00  PM","",288,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,20.329,22.621,20.329,22.621
"ng","04/21/23 08:00:00  PM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,9.373,13.365,12.497,8.282
"ng","04/21/23 09:00:00  PM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,7.28,11.236,10.944,6.775
"ng","04/21/23 10:00:00  PM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,6.674,10.357,10.161,6.573
"ng","04/21/23 11:00:00  PM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,5.962,9.571,9.669,6.573
"ng","04/22/23 12:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,5.552,8.978,8.879,5.037
"ng","04/22/23 01:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,5.45,9.176,9.669,5.141
"ng","04/22/23 02:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4.831,8.382,7.983,4.727
"ng","04/22/23 03:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4.727,8.481,8.68,4.311
"ng","04/22/23 04:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,5.141,8.978,9.077,4.415
"ng","04/22/23 05:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4.519,7.983,7.983,4.311
"ng","04/22/23 06:00:00  AM","",0,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,4.311,7.782,7.882,3.788
"ng","04/22/23 07:00:00  AM","",128,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,5.552,10.846,13.173,6.978
"ng","04/22/23 08:00:00  AM","",288,NA,1174236,35.11936,-119.62948,"San Joaquin","Carrizo_4","HOBO",7,10.846,25.805,35.864,18.711
