"","researcher","day","date","hour_HOBO","hour_OMEGA","intensity","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","temp.square","temp.triangle","temp.Ephedra californica","temp.open"
"1","ng",3,"17-02-2023","18:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,6.471,6.674,6.166,-0.887
"2","ng",3,"17-02-2023","19:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,6.573,6.573,6.268,-2.61
"3","ng",3,"17-02-2023","20:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,5.347,5.45,5.141,-4.152
"4","ng",3,"17-02-2023","21:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,4.934,5.244,4.727,-4.514
"5","ng",3,"17-02-2023","22:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,2.517,2.73,2.195,-4.272
"6","ng",3,"17-02-2023","23:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0.563,0.453,-0.437,-4.636
"7","ng",4,"18-02-2023","0:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,-0.549,-0.213,-0.662,-5.87
"8","ng",4,"18-02-2023","1:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,-2.145,-1.914,-2.494,-6.373
"9","ng",4,"18-02-2023","2:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,-2.03,-2.03,-2.377,-6.246
"10","ng",4,"18-02-2023","3:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,-2.61,-2.494,-3.079,-5.745
"11","ng",4,"18-02-2023","4:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,-1.341,-1.341,-1.684,-7.138
"12","ng",4,"18-02-2023","5:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,-1.456,-1.456,-1.684,-6.754
"13","ng",4,"18-02-2023","6:00:00",NA,0,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,-1.114,-1.001,-1.341,-7.918
"14","ng",4,"18-02-2023","7:00:00",NA,2304,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,0.674,0.01,0.453,-4.88
"15","ng",4,"18-02-2023","8:00:00",NA,7680,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,16.046,10.553,10.944,5.757
"16","ng",4,"18-02-2023","9:00:00",NA,8704,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,22.142,17.189,14.804,14.804
"17","ng",4,"18-02-2023","10:00:00",NA,8704,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,32.704,19.187,21.664,18.996
"18","ng",4,"18-02-2023","11:00:00",NA,3072,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,18.521,19.282,16.523,13.654
"19","ng",4,"18-02-2023","12:00:00",NA,2304,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,19.377,19.567,17.95,22.908
"20","ng",4,"18-02-2023","13:00:00",NA,2048,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,18.806,18.901,17.284,23.677
"21","ng",4,"18-02-2023","14:00:00",NA,1536,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,18.521,22.812,15.951,23.388
"22","ng",4,"18-02-2023","15:00:00",NA,1472,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,17.57,18.901,14.9,23.196
"23","ng",4,"18-02-2023","16:00:00",NA,1344,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,16.332,15.951,12.98,19.282
"24","ng",4,"18-02-2023","17:00:00",NA,800,NA,10641599,35.11947,-119.62962,"Carrizo","Carrizo_4","HOBO",1,15.187,13.269,10.748,12.497
