"","researcher","date","hour_HOBO","hour_OMEGA","intensity","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","temp.square","temp.Larrea tridentata ","temp.triangle","temp.open","temp.Larrea tridentata","temp.triangle ","temp.open "
"1","ng","2022-05-26","1:00:00 PM",NA,7168,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,52.149,27.468,48.955,50.456,27.764,47.368,28.655
"12","ng","2022-05-27","12:00:00 AM",NA,0,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,29.152,28.754,29.352,29.352,29.152,29.552,NA
"36","ng","2022-05-28","12:00:00 AM",NA,0,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,26.292,25.902,26.683,26.488,25.805,26.781,NA
"60","ng","2022-05-29","12:00:00 AM",NA,0,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,23.581,23.004,23.677,23.581,23.1,23.773,NA
"84","ng","2022-05-30","12:00:00 AM",NA,0,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,20.234,20.043,21.473,20.996,20.805,20.996,NA
"108","ng","2022-05-31","12:00:00 AM",NA,0,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,21.76,20.901,21.855,21.855,21.282,20.71,NA
"132","ng","2006-01-02"," 12:00:00 AM",NA,0,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,19.758,20.901,22.717,22.046,21.664,20.043,NA
"156","ng","2006-02-02"," 12:00:00 AM",NA,0,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,17.57,17.855,19.662,19.567,18.14,17.95,NA
"180","ng","2006-03-02"," 12:00:00 AM",NA,0,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,27.468,27.567,28.456,28.456,27.665,27.567,NA
"204","ng","2006-04-02"," 12:00:00 AM",NA,0,NA,1174236,35.85309,-116.18443,"Mojave","Tecopa","HOBO",8,24.448,24.255,24.448,24.545,24.448,24.641,NA
"213","ng","2022-05-14","1:00:00 PM",NA,3840,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,46.979,51.295,47.238,53.609,48.955,117.028,53.906
"224","ng","2022-05-15","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,16.713,15.664,17.284,17.284,15.76,65.68,17.95
"248","ng","2022-05-16","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,22.908,22.046,23.1,24.158,21.855,77.574,24.448
"272","ng","2022-05-17","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,25.805,24.835,25.902,26.097,24.738,80.911,26.195
"296","ng","2022-05-18","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,19.377,18.711,20.424,19.662,19.472,70.137,20.519
"320","ng","2022-05-19","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,27.961,26.879,28.456,29.152,27.468,86.823,29.252
"344","ng","2022-05-20","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,27.764,26.879,27.764,27.468,26.781,83.221,27.468
"368","ng","2022-05-21","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,15.664,15.282,16.523,16.046,16.141,61.054,16.332
"392","ng","2022-05-22","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,16.237,15.569,17.094,16.141,15.855,61.569,16.808
"416","ng","2022-05-23","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,22.142,21.282,22.717,24.351,21.378,75.312,24.448
"440","ng","2022-05-24","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,19.567,19.092,21.091,20.805,19.853,69.964,21.187
"464","ng","2022-05-25","12:00:00 AM",NA,0,NA,10641567,35.85303,-116.18407,"Mojave","Tecopa","HOBO",4,22.046,21.664,23.581,21.569,22.908,70.995,21.664
