"","researcher","hourdate_HOBO","hour_ELITECH","intensity","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","temp.Larrea tridentata","temp.square","temp.triangle","temp.open","temp.NA"
"1","ng","04/25/23 02:00:00  PM","",1920,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,31.574,94.633,35.649,38.046,NA
"2","ng","04/25/23 03:00:00  PM","",1536,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,31.88,45.326,36.403,48.687,NA
"3","ng","04/25/23 04:00:00  PM","",1152,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,31.472,43.118,35.756,47.368,NA
"4","ng","04/25/23 05:00:00  PM","",960,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,31.37,41.458,34.374,46.465,NA
"5","ng","04/25/23 06:00:00  PM","",800,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,29.853,36.295,31.88,40.992,NA
"6","ng","04/25/23 07:00:00  PM","",400,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,28.655,29.252,28.555,31.983,NA
"7","ng","04/25/23 08:00:00  PM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,24.062,23.388,23.773,23.966,NA
"8","ng","04/25/23 09:00:00  PM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,20.996,20.043,20.901,20.329,NA
"9","ng","04/25/23 10:00:00  PM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,20.138,18.996,19.948,19.567,NA
"10","ng","04/25/23 11:00:00  PM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,16.332,15.282,16.237,15.76,NA
"11","ng","04/26/23 12:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,14.996,14.709,14.804,15.378,NA
"12","ng","04/26/23 01:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,14.038,12.69,13.942,13.365,NA
"13","ng","04/26/23 02:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,13.654,12.207,13.365,12.401,NA
"14","ng","04/26/23 03:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,11.625,11.819,11.528,12.11,NA
"15","ng","04/26/23 04:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,12.304,11.528,12.11,11.625,NA
"16","ng","04/26/23 05:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,13.173,12.11,12.883,12.69,NA
"17","ng","04/26/23 06:00:00  AM","",71,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,11.819,11.916,11.722,12.497,NA
"18","ng","04/26/23 07:00:00  AM","",3072,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,23.196,15.951,19.092,17.189,NA
"19","ng","04/26/23 08:00:00  AM","",7168,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,30.862,23.484,26.195,23.677,NA
"20","ng","04/26/23 09:00:00  AM","",11776,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,34.585,29.352,30.457,26.781,NA
"21","ng","04/26/23 10:00:00  AM","",4864,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,31.472,35.009,32.911,30.457,NA
"22","ng","04/26/23 11:00:00  AM","",5120,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,35.435,41.108,37.055,33.848,NA
"23","ng","04/26/23 12:00:00  PM","",2304,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,33.014,45.703,35.328,37.384,NA
"24","ng","04/26/23 01:00:00  PM","",2560,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,35.115,50.318,38.714,40.645,NA
"25","ng","04/26/23 02:00:00  PM","",2048,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,34.268,51.154,40.3,40.53,NA
"26","ng","04/26/23 03:00:00  PM","",1600,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,34.058,51.295,39.615,53.313,NA
"27","ng","04/26/23 04:00:00  PM","",1536,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,34.479,49.36,39.502,52.437,NA
"28","ng","04/26/23 05:00:00  PM","",992,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,33.014,46.465,38.826,50.734,NA
"29","ng","04/26/23 06:00:00  PM","",608,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,31.88,40.185,35.542,45.201,NA
"30","ng","04/26/23 07:00:00  PM","",400,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,30.558,31.574,31.166,36.187,NA
"31","ng","04/26/23 08:00:00  PM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,21.473,20.615,21.473,22.525,NA
"32","ng","04/26/23 09:00:00  PM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,20.71,21.187,20.519,22.046,NA
"33","ng","04/26/23 10:00:00  PM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,18.14,18.426,17.855,19.092,NA
"34","ng","04/26/23 11:00:00  PM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,18.236,17.475,18.236,18.14,NA
"35","ng","04/27/23 12:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,17.665,14.9,17.475,15.76,NA
"36","ng","04/27/23 01:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,16.046,14.804,15.855,15.378,NA
"37","ng","04/27/23 02:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,14.804,13.461,14.517,13.846,NA
"38","ng","04/27/23 03:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,11.431,10.455,11.528,11.334,NA
"39","ng","04/27/23 04:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,11.139,10.455,11.041,10.651,NA
"40","ng","04/27/23 05:00:00  AM","",0,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,12.401,12.013,12.304,12.304,NA
"41","ng","04/27/23 06:00:00  AM","",71,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,11.236,10.063,11.334,10.553,NA
"42","ng","04/27/23 07:00:00  AM","",3072,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,20.805,14.996,17.76,16.141,NA
"43","ng","04/27/23 08:00:00  AM","",6912,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,30.659,22.429,26.585,22.525,NA
"44","ng","04/27/23 09:00:00  AM","",11776,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,40.185,30.054,32.394,27.567,NA
"45","ng","04/27/23 10:00:00  AM","",12800,NA,10541606,35.85309,-116.18381,"Mojave","Tecopa","HOBO",2,35.328,37.384,36.403,32.188,NA
