"","researcher","day","date","hour_HOBO","hour_OMEGA","intensity","humidity","pendant_id","lat","long","region","site_code","sensor_pendant","rep","temp.Larrea tridentata","temp.triangle","temp.square","temp.open"
"1","ng",2,"2023-02-20","18:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,15.282,16.523,15.187,16.046
"2","ng",2,"2023-02-20","19:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,13.173,15.282,12.98,14.325
"3","ng",2,"2023-02-20","20:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,12.497,13.461,12.594,12.594
"4","ng",2,"2023-02-20","21:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,9.669,11.431,9.571,10.063
"5","ng",2,"2023-02-20","22:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,8.182,9.768,8.481,8.581
"6","ng",2,"2023-02-20","23:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,8.68,8.779,8.581,7.782
"7","ng",3,"2023-02-21","0:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,7.582,8.182,7.682,7.179
"8","ng",3,"2023-02-21","1:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,5.244,5.552,5.347,4.102
"9","ng",3,"2023-02-21","2:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,5.655,6.471,6.064,5.45
"10","ng",3,"2023-02-21","3:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,5.45,5.655,5.552,4.415
"11","ng",3,"2023-02-21","4:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,3.472,4.623,3.683,3.683
"12","ng",3,"2023-02-21","5:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,3.683,4.311,3.788,3.367
"13","ng",3,"2023-02-21","6:00:00",NA,0,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,1.98,2.303,2.195,1.003
"14","ng",3,"2023-02-21","7:00:00",NA,2304,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,7.481,5.347,7.079,6.268
"15","ng",3,"2023-02-21","8:00:00",NA,6656,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,18.236,13.076,14.325,16.332
"16","ng",3,"2023-02-21","9:00:00",NA,7168,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,23.292,15.187,17.76,17.57
"17","ng",3,"2023-02-21","10:00:00",NA,5888,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,32.188,22.525,24.351,26.195
"18","ng",3,"2023-02-21","11:00:00",NA,8704,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,35.009,23.869,25.513,27.764
"19","ng",3,"2023-02-21","12:00:00",NA,5632,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,35.756,27.961,27.862,29.552
"20","ng",3,"2023-02-21","13:00:00",NA,3712,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,27.961,25.708,26.097,27.075
"21","ng",3,"2023-02-21","14:00:00",NA,1728,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,25.805,25.028,25.61,26.781
"22","ng",3,"2023-02-21","15:00:00",NA,896,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,23.196,23.004,23.292,23.773
"23","ng",3,"2023-02-21","16:00:00",NA,1344,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,24.641,23.869,23.966,24.835
"24","ng",3,"2023-02-21","17:00:00",NA,200,NA,10641598,35.85161,-116.875,"Mojave","Tecopa","HOBO",1,20.615,20.615,20.71,20.71
