researcher,region,site_code,rep,x,y,z,shrub_species,NSAT,NSRH,SGT,microsite,date,start_time
ng,Cuyama,Cuyama_1,1,280,229,135,Ephedra californica,14.6,40.15,19.7,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,2,337,330,147,Ephedra californica,16.3,37.69,11.5,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,3,236,188,123,Ephedra californica,17.15,37.32,8.9,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,4,386,296,156,Ephedra californica,17.75,34.43,9.6,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,5,538,457,178,Ephedra californica,17.2,35.12,9.4,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,6,251,240,134,Ephedra californica,17.59,36.78,13.9,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,7,473,471,160,Ephedra californica,19.18,32.2,13.1,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,8,496,475,158,Ephedra californica,20.76,30.55,16.1,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,9,280,277,130,Ephedra californica,19.7,29.83,13.8,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,10,460,353,187,Ephedra californica,20,31.18,17.2,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,11,667,562,138,Ephedra californica,20.82,31.7,22.6,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,12,531,465,167,Ephedra californica,22.19,29.44,22.2,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,13,254,214,137,Ephedra californica,23.78,27.2,29.6,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,14,385,345,161,Ephedra californica,21.4,30.01,31.2,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,15,297,287,197,Ephedra californica,20.74,29.76,20.9,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,16,530,488,182,Ephedra californica,20.17,31.46,11.5,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,17,257,234,134,Ephedra californica,18.75,35,25.11,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,18,338,394,144,Ephedra californica,21.96,28.63,26.5,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,19,458,437,156,Ephedra californica,22.55,28.07,15,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,20,324,240,136,Ephedra californica,22.18,29.09,21.1,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,21,332,275,172,Ephedra californica,21.13,31.08,10.2,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,22,315,287,160,Ephedra californica,20.41,31.8,13.9,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,23,400,334,200,Ephedra californica,20.6,30.37,17.1,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,24,328,272,148,Ephedra californica,19.63,31.71,13.3,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,25,228,187,147,Ephedra californica,19.7,31.02,17.8,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,26,320,235,160,Ephedra californica,18.82,31.01,13.1,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,27,254,248,138,Ephedra californica,20.34,30.5,11.2,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,28,258,228,168,Ephedra californica,20.38,29.17,13.4,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,29,215,172,142,Ephedra californica,20.65,30.65,12.1,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_1,30,305,300,176,Ephedra californica,19.78,30.85,13.2,shrub,13-02-2023,9:40
ng,Cuyama,Cuyama_2,1,241,195,159,Ephedra californica,20.67,25.94,16.8,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,2,285,280,172,Ephedra californica,24.03,26.11,15.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,3,252,244,143,Ephedra californica,22.53,24.16,16.2,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,4,321,309,197,Ephedra californica,21.18,23.74,13.3,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,5,242,224,146,Ephedra californica,21.3,26.36,14,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,6,543,493,210,Ephedra californica,21.46,25.1,13.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,7,497,338,178,Ephedra californica,21.52,25.83,13.7,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,8,520,463,205,Ephedra californica,21.7,27.18,14.5,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,9,400,387,155,Ephedra californica,21.67,26.66,17.2,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,10,270,220,141,Ephedra californica,21.73,28.84,14.2,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,11,230,203,150,Ephedra californica,21.22,26.85,14.2,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,12,308,298,152,Ephedra californica,20.97,28.52,15.3,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,13,212,200,148,Ephedra californica,20.77,28.66,16,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,14,296,262,157,Ephedra californica,20.35,27.2,15.2,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,15,434,432,172,Ephedra californica,21.82,27.43,15.3,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,16,186,196,141,Ephedra californica,21.28,26.11,17.9,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,17,271,231,183,Ephedra californica,21.03,26.49,16.3,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,18,525,350,158,Ephedra californica,20.46,27.51,16,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,19,466,346,210,Ephedra californica,20.28,28.67,14.9,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,20,224,200,166,Ephedra californica,19.87,28.08,16.5,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,21,390,321,182,Ephedra californica,19.66,31.8,15,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,22,276,148,102,Ephedra californica,19.37,31.73,15.5,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,23,282,292,143,Ephedra californica,19.64,29.23,16.3,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,24,320,289,145,Ephedra californica,19.84,29.46,17.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,25,453,393,148,Ephedra californica,20.15,29.46,16.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,26,520,498,185,Ephedra californica,20.36,29.6,14.5,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,27,326,222,145,Ephedra californica,28.3,30.48,16.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,28,348,293,153,Ephedra californica,20.1,31.57,15.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,29,310,261,169,Ephedra californica,19.68,33.08,14.2,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,30,331,230,156,Ephedra californica,19.51,33.17,15.1,shrub,13-02-2023,13:02
