region,abbreviation,genus,species,sub.spp,common.name,functional.group,reproduction,conservation.status,rarity
Carrizo,,dipodomys,californicus,,california kangroo rat,,,least concern,
Carrizo,,lepus,californicus,,black-tailed jack rabbit,,,least concern,
Carrizo,,sylvilagus,audobonii,,desert cottontail,,,least concern,
Carrizo,,ostopermophilus,beecheyi,,California ground squirrel,,,least concern,
Carrizo,,sceloporus,occidentalis,,western Fence Lizard,,,least concern,
Carrizo,,vulpes,macrotis,,kit fox,,,least concern,
Carrizo,,aspidoscelis,uniparens,,whiptail lizard,,,not listed,
Carrizo,,phrynosoma,cornutum,frontale,california horned lizard,,,not listed,
Carrizo,,gambelia,silus,,blunt-nosed leopard lizard,,,endangered,
Carrizo,,toxostoma,redivivum,,california thrasher,,,least concern,
Carrizo,,corvus,corax,,common raven,,,least concern,
Carrizo,,dipodomys,ingens,,giant kangaroo rat,,,threatened ,
Carrizo,,ammospermophilus,nelsoni,,Nelson's antelope squirrel,,,threatened ,
Carrizo,,perognathus,inornatus,,San Joaquin Pocket Mouse,,,least concern,
Carrizo,,chaetodipus,californicus,,california pocket mouse,,,least concern,
Carrizo,,lynx,rufus,,Bobcat,,,least concern,
Carrizo,,puma,conclor,,mountain lion,,,least concern,
Carrizo,,crotalus ,oreganus,,western rattlesnake,,,least concern,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
